 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.000159 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Jet uncertainties | -0.764 | -0.449 | 0.0992 | -0.57 | -0.199 | -0.72 | -0.185 | 0 | -0.324 | -0.791 | -0.229 | -0.042 | 72.8 | -0.315 | 4.57e-05 | 0.00414 | 0.113 | 0.379 | 0.476 | -0.0503 | 0.0365 | -0.835 | 0 | 0 | 0 | 0 | 0 | -0.0324 | 0.36 | 186 | 0 | 0 | 0 | 0 | 0 | -0.0207 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.17 | 0.0954 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other bkg modeling | 0 | 0 | 0.527 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.318 | 0.318 | 0.0249 | 0 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other instrumental uncertainty | -0.0196 | 0.0402 | 0.0671 | 0.037 | 0.0416 | 0.0193 | 0.0416 | 0 | -0.109 | -0.105 | 0.000117 | 0.0492 | -0.0446 | 0.175 | 0.0443 | 0.0804 | 0.044 | 0.0356 | -0.149 | 0.0366 | 0.0161 | -0.0891 | 0 | 0 | 0 | 0 | 0 | 0.0365 | -0.0687 | 0.00812 | 0 | 0 | 0 | 0 | 0 | -0.0448 |
 | SM 4top modeling | 1.63 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging B-jets uncertainties | 0.0507 | -0.0262 | 0.00349 | -0.0168 | -0.0259 | -0.0354 | -0.0275 | 0 | -0.0271 | -0.0226 | 0 | 0 | 0.0482 | 0.0449 | 0 | 0 | 0 | 0 | 0 | -0.0281 | -0.0117 | 0.0523 | 0 | 0 | 0 | 0 | 0 | -0.0234 | -0.0191 | -0.0657 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0226 | 0 | 0.144 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4.44e-16 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0253 | -0.0291 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.0987 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
