 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0451936 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0757698 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.0213445 / 0.0200109 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / -2.22045e-16 | 0 / 0 | -0.00458474 / 0.0287223 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | -0.0427858 / 3.96969e-11 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 2.22045e-16 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.0172989 / 0.0226426 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0.0014794 / 0.0301093 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00583578 / 0.0240786 | -2.22045e-16 / 0 | -1.11022e-16 / 0 | 0.00148798 / -0.0279619 | 0.0131018 / -0.0406009 | -0.0427858 / 3.96969e-11 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_Flavor_Response | 0.0200396 / -0.0183493 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / -1.11022e-16 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0228007 / -0.00469984 | 0 / 0 | -2.22045e-16 / -1.11022e-16 | -0.0240841 / -0.00171181 | -0.0383288 / 0.00363509 | 3.96969e-11 / -0.0427858 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1.11022e-16 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0386016 / 0.0500458 | -0.0235868 / 0.0209156 | 0.0211954 / 0.00265583 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0.0478298 / 0.0304713 | 0 / 0 | 2.22045e-16 / 0 | -0.0029275 / -0.0240551 | 0 / 0 | -0.016554 / 0.0338778 | 0 / 2.22045e-16 | -1.11022e-16 / 0 | 0.0111234 / -0.0727028 | 0.0364371 / -0.11046 | -0.0427858 / 3.96969e-11 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0282435 / 0.0257772 |
 | JET_JESUnc_Noise_PreRec | -0.0190219 / 0.0226866 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00499158 / 0.024659 | 0 / 0 | 0 / -1.11022e-16 | 0 / -2.22045e-16 | 0 / 0 | -0.0427858 / 3.96969e-11 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1.11022e-16 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0510336 / 0.0677854 | -0.0337636 / 0.0382567 | 0.0162487 / 0.0300522 | -1.11022e-16 / 0 | 0 / 0 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -0.0177545 / 0.0294868 | 2.22045e-16 / 0 | 0 / 0 | -0.00325585 / -0.0329786 | 0.0206913 / -0.0403726 | -0.0427858 / 3.96969e-11 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0528746 / 0.0383073 |
 | JET_Pileup_OffsetNPV | -0.0150043 / 0.0247979 | 0 / 0 | 4.44089e-16 / 0 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00146624 / 0.0301792 | -0.000742154 / -0.0287673 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0033355 / -0.041818 | 0.0295571 / -0.0470965 | -0.0498484 / 3.96969e-11 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
