 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Jet uncertainties | 0.453 | 0 | 0.0254 | 0.0368 | 0.484 | 0.0472 | 0 | 0 | -0.0191 | 0 | 0 | -0.0212 | 0.0611 | 0.0123 | 0.23 | 0.0337 | -0.0325 | -0.724 | 0 | 0 | 0.0337 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.297 | 0.138 | 0 | 0 | 0 | 0 | 0 | -0.265 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0991 | -0.0839 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other bkg modeling | 0 | 0 | 0.527 | 0.586 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.318 | 0.318 | -0.0293 | 0 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other instrumental uncertainty | -0.15 | 0.00332 | 0.118 | 0 | 0.051 | 0.0886 | 0 | 0 | -0.0476 | 0 | -0.0297 | -0.0406 | -0.0666 | 0.00206 | 0 | 0.0302 | 0.0302 | 0.0124 | 0 | 0 | 0.0256 | -0.0183 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0293 | -0.024 | 0 | 0 | 0 | 0 | 0 | 0.0597 |
 | SM 4top modeling | -0.159 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging B-jets uncertainties | -0.000674 | 0 | 0.0176 | 0.0135 | -0.0232 | 0 | 0 | 0 | -0.0199 | 0 | 0 | 0 | 0 | -0.0326 | 0.0219 | 0 | 0 | 0 | 0 | 0 | -0.0173 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0287 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0205 | 0 | 0 | 0 | -0.023 | 0 | 0.0407 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | 0 | -0.0176 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0225 | 0 | 0 | 0 | -0.0403 | -0.0527 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.0987 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
