 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -9.47e-06 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Jet uncertainties | 0.041 | 0.0685 | 0.176 | 0.1 | 0.0587 | -0.658 | 0.345 | 0 | -0.035 | 0.0499 | 3.13 | 12.6 | -0.136 | 2.68 | 70.1 | -0.478 | -0.125 | 0.25 | 0 | -0.0976 | 0.223 | 0.214 | -0.105 | 0.996 | -0.533 | 0.876 | 4.08 | -0.0701 | 0.0965 | 0.0183 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0659 | 1.1e-05 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other bkg modeling | 0 | 0 | 1.02 | 1.29 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.873 | 0.871 | 0.611 | 0 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other instrumental uncertainty | 0 | 0 | 0.0491 | 0 | 0 | -0.0058 | 0 | 0 | -0.0231 | -0.00789 | 0.0323 | 0.0356 | 0.0266 | 0.134 | -0.0205 | 0.0373 | 0.0237 | -0.0342 | 0 | 0.0426 | -0.0206 | 0.0212 | 0.0367 | 0.0804 | 0.106 | 0.0326 | 0.0264 | 0.0244 | -0.0775 | 0.0204 |
 | SM 4top modeling | 0.428 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging B-jets uncertainties | 0.0487 | 0.0476 | 0 | 0.0474 | 0 | 0.0118 | 0.0415 | 0 | 0.0481 | 0 | 0 | 0 | 0.0716 | 0.0455 | 0.0432 | 0.0463 | 0.0754 | 0 | 0 | 0.0208 | 0.0542 | 0.0736 | 0.0328 | 0.0521 | 0.0189 | 0.0472 | 0.0428 | -0.0129 | -2.22e-16 | 0.0234 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0.0506 | 0 | 0.0246 | 0.0116 | 0.0393 | 0 | 0.0286 | 0.0472 | 0.0865 | 0.12 | 0 | 0 | 0.0218 | 0 | 0.0288 | -1.11e-16 | 0 | 0.0251 | 0.0386 | 0.0271 | 0.0261 | 0.0265 | 0.0324 | 0.0305 | 0 | 0.0326 | 0.0384 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | -0.0338 | 0 | -0.0427 | -0.0332 | -0.0335 | 0 | -0.051 | -0.0217 | 0 | -0.0354 | 0 | -0.0317 | 2.22e-16 | -0.0326 | -0.0492 | -0.0951 | 0 | -0.0392 | -0.0373 | -0.0605 | -0.0224 | -0.0242 | -0.00777 | -0.0267 | -0.0735 | -0.0196 | 0 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.0987 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttH_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 1.12e-05 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttHmodeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.251 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttW_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3.49e-07 | 0 | -4.79e-06 | 0 | 4.31e-06 | -3.68e-07 | 1.52e-06 | 0 | -1.81e-06 | 2.95e-06 | 0 |
 | ttWmodeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttZ modeling | 0 | 0 | 0 | 0 | 0.0563 | 0.0527 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttZ_syst_varRF | 0 | 0 | 0 | 0 | 9.1e-06 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttZmodeling | 0 | 0 | 0 | 0 | 0.307 | 0.307 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttZp_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttt modeling | 0.197 | 0.707 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttt_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | tttt_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
