 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.998291 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0639316 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_BJES_Response | -0.00449683 / -0.033805 | -0.0371588 / 0.0226672 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0816793 / -0.0394754 | 0 / 0 | 0 / 0 | -0.0881203 / -0.0168273 | 0.0523912 / -1.58855e-05 | 0 / 2.22045e-16 | 0 / 0 | -1.11022e-16 / 0.169635 | 0 / 0 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0136307 / 0.0209981 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.0725834 / 0.0110814 | -0.0489916 / 0.0334651 | -0.166297 / 0.00100755 | 0 / 0 | 0 / 0 | 0.130216 / 0.0463996 | -0.0201321 / 0.0171852 | 0 / 0 | -0.0420504 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0.180489 | -0.0266148 / 0.00256969 | 0 / 0 | -0.0188055 / 0.0242507 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.100932 / 0.278886 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -3.6991e-05 / -0.211937 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0 / -0.117806 | -0.0552561 / 0.0432977 | -0.166297 / 0.00100755 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0.125865 / -0.00531499 | 0 / 0 | 0 / 0 | -0.0420504 / -0.000177114 | 0 / 0 | 2.22045e-16 / 0 | 0 / 2.22045e-16 | 0 / 0.180489 | -0.0370679 / -0.0265587 | 0 / 0 | -0.0195072 / 0.023625 | 0.0282155 / 0.000310894 | 0 / 0 | 0 / 0 | 0 / 0 | -0.177345 / 0.0769745 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0112166 / 0.0209568 | -3.6991e-05 / -0.212703 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0.0936497 / 0.0118226 | -0.0711883 / 0.0523861 | -0.166297 / 0.00100755 | 0 / 0 | -0.0273494 / 0.0262364 | 0.0849721 / -0.00790265 | -0.0255082 / 0.022404 | 0 / 0 | -0.0421107 / -0.00179488 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0.000377745 / 0.180489 | -0.0650277 / -0.0270521 | 0 / 0 | -0.0140544 / 0.0333422 | 0.0352018 / -0.0101468 | 0 / 0 | 0 / 0 | -0.0245585 / 0.00537428 | -0.253709 / 0.191759 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.00612811 / 0.0305066 | -0.357753 / -0.177116 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1 / 0 |
 | JET_Flavor_Response | 0.0110814 / 0.0936497 | 0.00878175 / -0.0283162 | 0 / -0.166297 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | -0.0102066 / 0.0841729 | 0.0148918 / -0.0204773 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0.182219 / -0.141667 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0015784 / 0.0311939 | 0 / 0 | 0 / 0 | 0 / 0 | 0.190179 / -0.0474099 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.212599 / -3.6991e-05 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0966353 / 0.281006 | -0.138247 / 0.075788 | -0.166297 / 0.00100755 | -0.0374681 / 0.0202194 | -0.0394202 / 0.0585814 | 0.163541 / -0.0235308 | -0.0549957 / 0.0483883 | 0 / 0 | -0.123209 / -0.00812294 | 0.0521786 / 0.00166389 | 0 / 0 | -0.0239657 / 0.0100204 | -0.141667 / 0.253693 | -0.028101 / -0.0274389 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | 0.0575303 / -0.0390649 | 0.0279507 / -0.0347645 | 0 / 0 | -0.0321125 / 0.019945 | -0.276232 / 0.363277 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0230295 / 0.0394922 | -0.359015 / 0.333459 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -1 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0.217332 | 0.0221997 / 0.013054 | 0 / -0.103466 | 0.0180477 / 0.0453725 | 0 / 0 | 0.0450906 / 0.298693 | 0 / 0 | 0 / 0 | 0 / -0.15522 | 0 / 0 | 0 / 2.22045e-16 | 0.00135455 / -0.0236619 | -1.11022e-16 / -0.619876 | -0.062906 / 0.00592152 | 0 / 0 | -0.00549713 / 0.0369815 | -0.002496 / 0.043441 | 0 / 0 | 9.76952e-12 / 0.0289184 | 2.22045e-16 / -2.22045e-16 | 0 / 0.594277 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.00362713 / 0.0231246 | 0 / -0.228052 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / -1 |
