 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.196923 / -0.196902 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0366038 / 0.000886361 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | FT_EFF_Eigen_B_0__1 | 0.0228576 / -0.0226043 | -3.40442e-06 / 3.5043e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0358117 / -0.0349803 |
 | FT_EFF_Eigen_B_2__1 | -0.0563382 / 0.0611159 | -0.0435578 / 0.0468551 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | -0.02393 / 0.0267702 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.0485048 / 0.0523527 |
 | FT_EFF_Eigen_B_3__1 | 0.0339042 / -0.0330238 | 0.0275963 / -0.0270674 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 4.44089e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0318245 / -0.0311203 |
 | FT_EFF_Eigen_B_8__1 | 0.0205885 / -0.0205563 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -1.11022e-16 | 0.0216341 / -0.0215386 |
 | t#bar{t}t#bar{t} generator choice | -8.5837e-05 / -1.13244e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 2.60228e-05 / -2.60225e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -4.33087e-06 / 6.3878e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0173463 / -0.0314193 | 0.0191445 / -0.0347962 | 0.0203134 / -0.0343321 | 0 / 0 | 0.0227182 / -0.0321202 | 0.0120572 / -0.0372374 | 0.0735027 / -0.0472026 | 0.0778731 / -0.0728374 | -0.00625345 / -0.027333 | 0.0347902 / -0.066767 | 0.0237764 / -0.0384396 | 0.0128313 / -0.0330854 | 0.0304045 / -0.0739012 | 0.0276324 / -0.0648579 | 0 / 0 | 0.0160467 / -0.0289278 | 0 / 0 | 2.22045e-16 / 0 | 0.00360038 / -0.0239653 | 0.00184926 / -0.0222593 | 0.0196022 / -0.0352262 | 0.0144433 / -0.0264254 | 0.0161458 / -0.031871 | 0 / -1.11022e-16 | 0 / -1.11022e-16 | -1.83619e-05 / 2.68235e-05 |
 | JET_JESUnc_VertexingAlg_PreRec | -4.17532e-06 / 6.69338e-06 | -3.03147e-07 / 4.98209e-07 | 0.0109191 / -0.0283361 | -2.17656e-06 / 3.5617e-06 | 0.0207355 / -0.0403619 | 0.0256249 / -0.0518838 | 0.0251629 / -0.0439954 | 0 / 0 | 0.0276923 / -0.0395274 | 2.22045e-16 / 0 | 0.0817701 / -0.0234674 | 0.0958127 / -0.091359 | -0.0042865 / -0.0411673 | 0.0240127 / -0.0708577 | 0.0220063 / -0.0448643 | 0.0218717 / -0.0670078 | 0.0227642 / -0.0624786 | 0.00972155 / -0.069838 | 0 / 0 | 0.0258501 / -0.0399258 | 0 / 0 | 2.22045e-16 / 0 | 0.0067841 / -0.0289241 | 0.00475548 / -0.0322178 | 0.0198488 / -0.0441657 | -4.53567e-06 / 7.39087e-06 | 0.0216915 / -0.0232217 | -1.11022e-16 / 2.22045e-16 | 0 / 0 | -2.11667e-05 / 3.30786e-05 |
