 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.196923 / -0.196902 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0479072 / 0.00115645 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.0286352 / 0.000374607 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MUON_EFF_ISO_SYS | 0.0258047 / -0.0262244 | 0.0262419 / -0.0266666 | 0.0276248 / -0.0280482 | 0.0280538 / -0.0284361 | 0.0296249 / -0.0299286 | -5.35379e-05 / 5.58895e-05 | 0.0270317 / -0.0274453 | 0 / 0 | 0 / 0 | 0.0218282 / -0.0222486 | 0.0273104 / -0.0280007 | 0.0388878 / -0.0394653 | 0 / 0 | 0 / 0 | 0.0344963 / -0.0347106 | 0.0327837 / -0.0329671 | 0.0350654 / -0.035276 | 0.0278071 / -0.0282343 | 0 / 0 | 0.0266723 / -0.0271292 | 0.0261898 / -0.0265957 | 0.029079 / -0.0295513 | 0.0410937 / -0.0413384 | 0.0424435 / -0.0413458 | 0.0266403 / -0.0270419 | 0.0309493 / -0.0314259 | 0.0219121 / -0.0223946 | 0.0197182 / -0.0202178 | 0.028681 / -0.0291527 | 0.0277481 / -0.0281571 |
 | FT_EFF_Eigen_B_0__1 | 0.0227184 / -0.0224253 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0263591 / -0.0262182 | 0.0412723 / -0.0398221 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.189381 / -0.185089 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0297626 / -0.0292868 |
 | FT_EFF_Eigen_B_2__1 | -0.058838 / 0.0647913 | -0.0488881 / 0.0526713 | 0 / 0 | 0 / 0 | 0 / 0 | -4.44089e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.12546 / 0.146111 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0195719 / 0.0205776 | -0.0280617 / 0.0294981 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.44372 / 0.526065 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -3.33067e-16 / 0 | 0 / 0 | -0.0529362 / 0.0571123 |
 | FT_EFF_Eigen_B_3__1 | 0.0358805 / -0.0348923 | 0.0297676 / -0.0291231 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0290694 / -0.0287463 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0716229 / -0.0641847 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.291233 / -0.279101 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0351801 / -0.0344653 |
 | FT_EFF_Eigen_B_8__1 | 0.0232977 / -0.0232227 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0211533 / -0.0210992 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 3.57439e-05 / -3.57435e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -1.60883e-05 / 2.35164e-05 | 0 / 0 | 0.0223964 / -0.0358557 | -2.64327e-05 / 3.9427e-05 | 0.0101046 / -0.0269271 | -0.0329452 / -0.0463444 | 0.011819 / -0.0243834 | 0 / 0 | -0.10356 / 0.068267 | -0.00572376 / -0.115374 | 0 / 0 | -0.007497 / -0.217003 | -1.11022e-16 / 0 | 0.0905504 / -0.132573 | -0.0202889 / -0.0150313 | 0.00889991 / -0.0453332 | 0.0101426 / -0.0618708 | 0.0323009 / -0.0189783 | 0 / 0 | 0 / 0 | 0.0107349 / -0.0308229 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | -0.131558 / -0.0652044 | 0.0169861 / -0.0281582 | 0 / 2.22045e-16 | 0 / 0 | 0 / -3.33067e-16 | -0.000582305 / -0.022336 | -2.12106e-05 / 3.11242e-05 |
 | JET_JER_EffectiveNP_1 | 6.07982e-06 / -9.29337e-06 | 0 / 0 | -0.020056 / 0.0173952 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0661061 / 0.059855 | 0.0652924 / -0.0525392 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0264698 / -0.0220228 | 0 / 2.22045e-16 | 0 / 0 | -3.33067e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | 0.110389 / -0.0855666 | 2.22045e-16 / 0 | -0.0501286 / 0.0447066 | 2.22045e-16 / 0 | 0.0268693 / -0.0223475 | -0.034214 / 0.0300637 | 4.84246e-06 / -7.36731e-06 |
