 |       | CR Mat. Conv. | CR Low m_{#gamma^{*}} | CR HF e | CR HF#mu | CR t#bar{t}W^{+} | CR t#bar{t}W^{-} | CR 1b(+) | CR 1b(-) | SR #geq 4b | SR 3b, #\geq 3l | SR 3b, 2l | SR 2b, #\geq 3l | SR 2b, 2l | 
 | t#bar{t}t#bar{t} | 0.140555 pm 0.0294306 | 0.00521349 pm 0.00139263 | 0.00309059 pm 0.00247577 | 0.003928 pm 0.00252711 | 1.27903 pm 0.285306 | 1.27193 pm 0.287194 | 1.88587 pm 0.425829 | 1.82367 pm 0.398719 | 13.829 pm 2.99855 | 3.92617 pm 0.816995 | 13.5998 pm 2.79122 | 2.21256 pm 0.474304 | 8.46584 pm 1.78348 | 
 | t#bar{t}t | 0.0368026 pm 0.0111558 | 0.00140718 pm 0.000428418 | 0.00209224 pm 0.000760614 | 0.00540412 pm 0.00178274 | 0.376506 pm 0.115878 | 0.321636 pm 0.098998 | 0.299752 pm 0.0929669 | 0.273743 pm 0.0846627 | 0.686533 pm 0.235451 | 0.246434 pm 0.0753543 | 1.23181 pm 0.372935 | 0.1841 pm 0.0566376 | 0.983019 pm 0.300005 | 
 | t#bar{t}VV | 0.470537 pm 0.188489 | 0.0177794 pm 0.00686561 | 0.0377913 pm 0.0177771 | 0.219672 pm 0.119118 | 3.41817 pm 1.32811 | 3.0731 pm 1.28484 | 7.13709 pm 3.05983 | 6.76168 pm 3.07456 | 0.933638 pm 0.389715 | 0.312596 pm 0.123514 | 2.86425 pm 1.1314 | 1.80581 pm 0.795642 | 10.2667 pm 4.39419 | 
 | ttZ_high | 5.23521 pm 1.75866 | 0.291741 pm 0.237985 | 2.13167 pm 0.465653 | 4.45216 pm 1.39632 | 39.016 pm 10.4765 | 37.5388 pm 9.0911 | 36.17 pm 10.3808 | 35.2388 pm 9.54075 | 1.63915 pm 0.301059 | 2.64668 pm 0.399279 | 9.38391 pm 1.44594 | 13.0162 pm 2.58408 | 40.8631 pm 8.77065 | 
 | ttZ_low | 0.386837 pm 0.131293 | 0.0162924 pm 0.0132631 | 0.294087 pm 0.128565 | 0.234776 pm 0.0883336 | 2.57359 pm 0.693078 | 2.42025 pm 0.585076 | 1.64054 pm 0.482082 | 1.69689 pm 0.472795 | 0.0576796 pm 0.0185097 | 0.0671647 pm 0.0644277 | 0.505136 pm 0.0959662 | 0.0328331 pm 0.0141207 | 2.52727 pm 0.546942 | 
 | t#bar{t}H | 3.33996 pm 0.351537 | 0.231489 pm 0.0695859 | 1.59667 pm 0.212013 | 3.27531 pm 0.428418 | 39.2535 pm 4.06642 | 39.2346 pm 4.12673 | 34.1608 pm 3.86055 | 33.7495 pm 3.88931 | 2.30242 pm 0.400055 | 1.98338 pm 0.294009 | 13.2888 pm 1.69786 | 9.71298 pm 1.14414 | 56.461 pm 6.33598 | 
 | QmisID | 113.727 pm 2.33135 | 1.57786 pm 0.0676289 | 2.00316e-06 pm 7.95647e-08 | 1.99124e-06 pm 5.61163e-08 | 18.4607 pm 0.220948 | 17.5008 pm 0.269467 | 33.9897 pm 0.370541 | 36.7136 pm 0.471612 | 1.32672 pm 0.0327415 | 2.00052e-06 pm 5.41377e-08 | 6.98274 pm 0.117703 | 0.00306432 pm 7.41406e-05 | 32.0222 pm 0.280983 | 
 | Mat.Conv. | 71.4843 pm 19.2807 | 3.61873 pm 1.03234 | 1.82664 pm 0.601273 | 1.00762 pm 0.41806 | 2.59361 pm 0.797401 | 2.91086 pm 0.936333 | 11.6366 pm 3.42794 | 8.80329 pm 2.63435 | 0.399867 pm 0.116246 | 0.74098 pm 0.599495 | 4.78706 pm 1.40353 | 1.09692 pm 0.37701 | 20.6678 pm 5.86019 | 
 | Low m_{#gamma^{*}} | 19.0114 pm 3.95371 | 44.7238 pm 8.77704 | 4.31516 pm 1.07645 | 1.04976 pm 0.316237 | 6.15896 pm 1.46651 | 5.73295 pm 1.32853 | 11.1844 pm 2.53971 | 8.05914 pm 1.92415 | 0.965287 pm 0.252215 | 0.235793 pm 0.0954699 | 3.52455 pm 0.913226 | 1.17918 pm 0.357351 | 18.6374 pm 3.93709 | 
 | HF e | 10.2716 pm 3.14288 | 3.99681 pm 1.23598 | 36.7096 pm 10.9534 | 10.9398 pm 3.55198 | 16.7103 pm 5.17337 | 17.504 pm 5.43551 | 50.1254 pm 14.8291 | 50.5501 pm 15.0037 | 19.5688 pm 11.5263 | 0.325718 pm 0.113198 | 2.86085 pm 0.909632 | 0.63819 pm 0.243477 | 13.0841 pm 3.87285 | 
