 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.501569 / -0.501569 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.539821 / -0.539821 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_BJES_Response | -0.0478767 / 0.0478767 | -0.0222028 / 0.0222028 | 0 / 0 | -0.0317363 / 0.0317363 | 0 / 0 | -0.0268758 / 0.0268758 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.073261 / 0.073261 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0312968 / 0.0312968 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.0322195 / -0.0322195 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0355604 / -0.0355604 | 0 / 0 | -0.022982 / 0.022982 | -0.0279047 / 0.0279046 | 0 / 0 | -0.042188 / 0.042188 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.11376 / -0.11376 | -0.0307344 / 0.0307344 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0462218 / 0.0462218 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.108102 / 0.108102 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0.114118 / -0.114118 | -0.0348238 / 0.0348238 | -0.0498535 / 0.0498534 | -0.0377137 / 0.0377137 | -0.0221242 / 0.0221241 | -0.0555695 / 0.0555695 | -0.0214633 / 0.0214633 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.11376 / -0.11376 | -0.0704825 / 0.0704825 | 0 / 0 | 0 / 0 | 0.0209021 / -0.0209021 | 0.0253622 / -0.0253621 | 0 / 0 | 0 / 0 | -0.0766685 / 0.0766685 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.107304 / 0.107304 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.221521 / 0.221521 |
 | JET_EtaIntercalibration_TotalStat | 0.0321954 / -0.0321954 | 0 / 0 | 0 / 0 | -0.0226601 / 0.0226601 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0498375 / 0.0498376 | 0 / 0 | 0 / 0 | 0.113807 / -0.113807 | -0.0324565 / 0.0324565 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_Flavor_Response | -0.0624853 / 0.0624853 | 0 / 0 | 0 / 0 | 0.0219988 / -0.0219989 | 0 / 0 | 0.0279718 / -0.0279718 | 0 / 0 | 0 / 0 | 0 / 0 | 0.049852 / -0.049852 | 0 / 0 | 0 / 0 | -0.114036 / 0.114036 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0487092 / -0.0487092 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.10055 / -0.10055 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.221521 / -0.221521 |
 | JET_InSitu_NonClosure_PreRec | -0.0715829 / 0.0715829 | -0.0709619 / 0.0709619 | -0.0723627 / 0.0723627 | -0.0783811 / 0.0783811 | -0.040336 / 0.040336 | -0.0381885 / 0.0381885 | -0.0481561 / 0.0481561 | 0 / 0 | 0.103992 / -0.103992 | 0 / 0 | 0 / 0 | 0 / 0 | 0.105983 / -0.105983 | -0.093029 / 0.0930289 | 0 / 0 | 0 / 0 | 0.035292 / -0.035292 | 0.0549386 / -0.0549386 | 0 / 0 | -0.0215324 / 0.0215324 | -0.194132 / 0.194132 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0230815 / 0.0230815 | -0.122847 / 0.122847 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.471931 / 0.471931 |
 | JET_JERUnc_Noise_PreRec | -0.111191 / 0.111191 | 0.0279216 / -0.0279216 | -0.0957426 / 0.0957426 | 0 / 0 | 0 / 0 | -0.0667618 / 0.0667617 | 0 / 0 | 0 / 0 | 0.0676349 / -0.0676349 | 0 / 0 | 0.0250217 / -0.0250217 | 0 / 0 | 0.114426 / -0.114426 | -0.0735004 / 0.0735004 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.910468 / 0.910468 | 0 / 0 | -0.0974021 / 0.0974021 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.0636633 / -0.0636632 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.221521 / -0.221521 |
