 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.0283308 / 0.0283308 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0716801 / 0.0716801 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.0234389 / 0.0234388 | 0 / -3.33067e-16 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0522145 / -0.0522145 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0431914 / -0.0431914 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0446696 / 0.0446695 | -0.0205477 / 0.0205477 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0508137 / -0.0508137 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0440664 / -0.0440665 | 0.0549191 / -0.0549191 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0308785 / 0.0308785 |
 | JET_JESUnc_Noise_PreRec | -0.0200136 / 0.0200136 | 2.22045e-16 / -1.11022e-16 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0386491 / -0.0386491 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0356414 / -0.0356413 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0524888 / 0.0524889 | -0.0330798 / 0.0330798 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0515334 / -0.0515334 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0416503 / -0.0416503 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0424923 / 0.0424923 |
 | JET_Pileup_RhoTopology | -0.038081 / 0.038081 | 0 / -1.11022e-16 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0508631 / -0.050863 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0410771 / -0.0410771 | 0.0501511 / -0.0501511 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0254548 / 0.0254548 |
 | MUON_EFF_ISO_SYS | 0.0226282 / -0.0226282 | 0.0227555 / -0.0227555 | 0.0238814 / -0.0238814 | 0.0230854 / -0.0230854 | 0.02238 / -0.02238 | 0.0279747 / -0.0279747 | 0.023337 / -0.023337 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0266001 / -0.0266001 | 0.0352105 / -0.0352105 | 0 / 0 | 0.03159 / -0.03159 | 0.0226077 / -0.0226077 | 0.0219953 / -0.0219953 | 0.0232543 / -0.0232543 | 0.0225665 / -0.0225665 | 0 / 0 | 0.0228548 / -0.0228548 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.0245132 / -0.0245132 |
 | FT_EFF_Eigen_B_2__1 | -0.0395094 / 0.0395095 | -0.0306859 / 0.0306859 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0433946 / 0.0433946 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.0296285 / 0.0296285 |
 | FT_EFF_Eigen_B_3__1 | 0.0310727 / -0.0310727 | 0.024914 / -0.024914 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0208563 / -0.0208563 | 0.0211618 / -0.0211618 | 0 / 0 | 0 / 0 | 0.0304536 / -0.0304536 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.022275 / -0.0222749 |
 | FT_EFF_Eigen_B_7__1 | 0.0224598 / -0.0224597 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0227969 / -0.0227969 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
