 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2.22e-16 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | Jet uncertainties | -2.22e-16 | 2.22e-16 | 0.126 | 2.22e-16 | 0 | 2.89 | 0 | 0 | -0.0296 | 0.655 | -0.13 | 0.443 | 0.0211 | 1.44 | -0.00391 | 0.0291 | 0.123 | 0.042 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -1.11e-16 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -2.22e-16 | 2.22e-16 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | Other bkg modeling | 0 | 0 | 0.5 | 0.5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3 | 0.3 | 1.15 | 0 | 0.5 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | Other instrumental uncertainty | 0.0263 | 0.0267 | 0.0281 | 0.0286 | 0.0301 | -0.1 | 0.0275 | 0 | 0 | 0.0223 | -0.0107 | -0.0315 | 0 | -0.0461 | 0.0416 | 0.0332 | 0.0592 | 0.0283 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0.0288 |
 | SM 4top modeling | 0.302 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | b-tagging B-jets uncertainties | 0.0159 | -0.0232 | 0 | 0 | 0 | 0.0539 | 0 | 0 | 0 | 0.00102 | 0.0189 | 0 | 0 | 0 | 0 | 0 | -0.0203 | -0.029 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0.0333 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0242 | 0 | 0 | 0 | 0 | -0.042 | -0.033 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
