 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2.22e-16 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | Jet uncertainties | -1.11e-16 | 0 | 0.108 | 0.0697 | 0.205 | -0.0713 | 0.152 | 0 | 0.0871 | 0.108 | 0.275 | 0.000699 | 0.0502 | 0.0356 | 0.136 | 0.0258 | 0.443 | 0.377 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 8.88e-16 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0454 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | Other bkg modeling | 0 | 0 | 0.625 | 0.913 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.458 | 0.471 | 1.11 | 0 | 0.5 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | Other instrumental uncertainty | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0422 | -0.0294 | 0.0343 | -0.0305 | 0 | 0.025 | 0 | 0.0202 | 0.00226 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | SM 4top modeling | 0.338 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | b-tagging B-jets uncertainties | -0.0115 | -0.00434 | 0 | -0.00686 | 0 | 0.0205 | 0 | 0 | 0.0205 | 0 | 0 | 0.0211 | 0 | 0 | 0 | 0 | 0 | 0.0599 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0.00972 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0.0245 | 0 | 0 | 0.02 | 0.0271 | 0 | 0.0213 | 0 | 0.0225 | 0 | 0 | 0 | 0 | 0 | 0.0246 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | -0.0263 | 0 | -0.0337 | -0.00702 | -0.0257 | 0 | -0.0244 | -0.0327 | -0.0244 | -0.0217 | 0 | -0.0436 | -0.0299 | -0.0438 | -0.0689 | -0.0258 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
