 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0210577 / -0.0210577 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.175766 / -0.175766 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0.0253881 / -0.0253882 | 0.0301406 / -0.0301406 | 0.0502931 / -0.050293 | 0.0317044 / -0.0317044 | 0.0289135 / -0.0289135 | 0 / 0 | 0.0589963 / -0.0589963 | 0 / 0 | 0.0317785 / -0.0317784 | 0 / 0 | 0.614766 / -0.53196 | 0.125431 / -0.125431 | 0 / 0 | 0.0814068 / -0.0814068 | 0.0819999 / -0.0819999 | -0.0389428 / 0.0389427 | 0.021151 / -0.0211509 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 2.22045e-16 |
 | JET_Pileup_RhoTopology | 0.0224837 / -0.0224837 | 0.0262968 / -0.0262968 | 0.0351883 / -0.0351884 | 0.0288066 / -0.0288067 | 0.0285614 / -0.0285614 | 0 / 0 | 0.0545482 / -0.0545482 | 0 / 0 | 0.0285395 / -0.0285395 | 0 / 0 | 0.614798 / -0.531991 | 0.124844 / -0.124844 | 0 / 0 | 0.0816068 / -0.0816068 | 0.104882 / -0.104882 | -0.0377233 / 0.0377234 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | FT_EFF_Eigen_B_3__1 | 0.0234757 / -0.0234757 | 0.022845 / -0.0228449 | 0 / 0 | 0.0226803 / -0.0226804 | 0 / 0 | 0.0307989 / -0.0307989 | 0.0200088 / -0.0200088 | 0 / 0 | 0.0222971 / -0.0222971 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0234011 / -0.023401 | 0.0243811 / -0.0243811 | 0.0208924 / -0.0208924 | 0.0209739 / -0.0209739 | 0.0252743 / -0.0252743 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | FT_EFF_Eigen_B_7__1 | 0.0243117 / -0.0243117 | 0.0238147 / -0.0238147 | 0 / 0 | 0.0238911 / -0.0238912 | 0 / 0 | 0.0400164 / -0.0400164 | 0.0207518 / -0.0207518 | 0 / 0 | 0.0249947 / -0.0249946 | 0 / 0 | 0 / 0 | 0 / 0 | 0.025274 / -0.025274 | 0.02204 / -0.0220401 | 0.0211991 / -0.0211992 | 0.0272662 / -0.0272662 | 0.0274296 / -0.0274296 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0.022871 / -0.022871 |
 | JET_JESUnc_VertexingAlg_PreRec | 0 / 0 | 0.0216035 / -0.0216036 | 0.0356913 / -0.0356913 | 0.026233 / -0.026233 | 0 / 0 | 0 / 0 | 0.0426566 / -0.0426566 | 0 / 0 | 0.029488 / -0.029488 | 0 / 0 | 0.611127 / -0.528321 | 0.128291 / -0.128291 | 0 / 0 | 0.0914326 / -0.0914327 | 0.105989 / -0.105989 | -0.0362904 / 0.0362905 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | ttt Cross-Section | 0 / 0 | 0.3 / -0.3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t + 1 true b-jet | 0 / 0 | 0.310907 / -0.310907 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | ttWW Cross-Section | 0 / 0 | 0 / 0 | 0.5 / -0.5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | Other + 1 true b-jet | 0 / 0 | 0 / 0 | 0.168828 / -0.168828 | 0.0862984 / -0.0862984 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.169544 / -0.169544 | 0.171503 / -0.171503 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | Other + #geq 2 true b-jet | 0 / 0 | 0 / 0 | 0.133049 / -0.133049 | 0.375827 / -0.375827 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.216405 / -0.216405 | 0.21278 / -0.21278 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_Flavor_Composition_Bkg | 0 / 0 | 0 / 0 | 0.0317371 / -0.031737 | 0 / 0 | 0.0229109 / -0.0229109 | 0.0201803 / -0.0201803 | 0.0405205 / -0.0405204 | 0 / 0 | 0.0316204 / -0.0316205 | 0 / 0 | 0 / 0 | 0.127752 / -0.127752 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0387061 / 0.0387061 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0 / 0 | 0 / 0 | -0.020379 / 0.020379 | 0 / 0 | 0.0228294 / -0.0228294 | 0.075941 / -0.075941 | 0 / 0 | 0 / 0 | 0 / 0 | -0.051956 / 0.051956 | -0.521526 / 0.521526 | -0.0253823 / 0.0253823 | -0.0282798 / 0.0282797 | 0.0485872 / -0.0485872 | -0.0653382 / 0.0653381 | 0.0410997 / -0.0410996 | 0.030773 / -0.030773 | 0.099642 / -0.099642 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / 0 | 0 / 0 | 0.0298636 / -0.0298636 | 0 / 0 | 0 / 0 | 0.10825 / -0.10825 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0564499 / 0.0564499 | 0 / 0 | -0.0273709 / 0.0273708 | 0 / 0 | 0 / 0 | -0.134494 / 0.134494 | 0.0370455 / -0.0370454 | 0.0225533 / -0.0225533 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | 0.0204472 / -0.0204471 | 0 / 0 | 0 / 0 | -0.0593897 / 0.0593897 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0518995 / -0.0518995 | 0.574298 / -0.515701 | 0 / 0 | 0 / 0 | 0 / 0 | 0.124725 / -0.124725 | 0.057094 / -0.0570939 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / 0 | 0 / 0 | 0.0286524 / -0.0286525 | 0 / 0 | 0 / 0 | 0.105958 / -0.105958 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0563186 / 0.0563186 | 0 / 0 | -0.023253 / 0.023253 | 0 / 0 | 0 / 0 | -0.220651 / 0.220651 | 0.0585508 / -0.0585507 | 0.0329263 / -0.0329264 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_3 | 0 / 0 | 0 / 0 | -0.0291699 / 0.0291698 | 0 / 0 | 0 / 0 | -0.0812529 / 0.0812528 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0528928 / -0.0528928 | 0 / 0 | 0.0239709 / -0.0239709 | 0 / 0 | 0 / 0 | 0.168354 / -0.168354 | -0.0386179 / 0.038618 | -0.021891 / 0.021891 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_4 | 0 / 0 | 0 / 0 | -0.0251631 / 0.0251631 | 0 / 0 | 0 / 0 | 0.042094 / -0.042094 | 0 / 0 | 0 / 0 | 0 / 0 | -0.053685 / 0.053685 | -0.515453 / 0.515453 | 0 / 0 | 0 / 0 | 0.0208338 / -0.0208338 | -0.076848 / 0.076848 | 0.0276478 / -0.0276478 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
