 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197289 / -0.196932 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | t#bar{t}t#bar{t} modelling (shower) | -0.99009 / -0.0379635 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | t#bar{t}t#bar{t} generator choice | -0.0611326 / -0.000959891 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_BJES_Response | -0.00442616 / -0.0339466 | -0.0372622 / 0.0226715 | 0 / 0 | 0 / 0 | 0 / 0 | 0.081908 / -0.0394578 | 0 / 0 | 0 / 0 | -0.0882082 / -0.0170927 | 0.0524731 / 9.93966e-05 | 0 / 2.22045e-16 | 0 / 0 | -0.00036691 / 0.170347 | 0 / 0 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0136978 / 0.0210505 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_EffectiveNP_Modelling1 | -0.0717075 / 0.00812017 | -0.0502208 / 0.0327324 | -0.162651 / -0.00714111 | 0 / 0 | 0 / 0 | 0.123398 / 0.0548828 | -0.0209202 / 0.0170753 | 0 / 0 | -0.0411 / -0.00199477 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0126039 / 0.18982 | -0.0261983 / 0.00143696 | 0 / 0 | -0.0201328 / 0.0245523 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.115598 / 0.2874 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0171001 / -0.221738 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_EtaIntercalibration_Modelling | 0.00103554 / -0.115227 | -0.0535456 / 0.0417975 | -0.160464 / -0.000394588 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0.120869 / -0.00424396 | 0 / 0 | 0 / 0 | -0.0404774 / -0.000507187 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | -0.00144447 / 0.175849 | -0.035461 / -0.0262311 | 0 / 0 | -0.0189652 / 0.0229056 | 0.027125 / 0.000523157 | 0 / 0 | 0 / 0 | 0 / 0 | -0.171682 / 0.0735079 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0109656 / 0.020369 | 0.00189852 / -0.20834 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0.0959396 / 0.0141162 | -0.0742984 / 0.0515169 | -0.170224 / -0.00296655 | 0 / 0 | -0.0287574 / 0.0260271 | 0.0875968 / -0.00616077 | -0.0267696 / 0.0221768 | 0 / 0 | -0.0431512 / -0.00279317 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0042995 / 0.183568 | -0.0659808 / -0.0289639 | 0 / 0 | -0.0153174 / 0.0335633 | 0.0364503 / -0.00952873 | 0 / 0 | 0 / 0 | -0.0253444 / 0.00489696 | -0.262872 / 0.187572 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00711499 / 0.0308683 | -0.361473 / -0.187481 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_Flavor_Response | 0.0177005 / 0.0882049 | 0.00735438 / -0.0285175 | -0.0114319 / -0.160089 | 2.22045e-16 / 2.22045e-16 | 6.14611e-06 / -7.12525e-06 | -0.00539564 / 0.0825996 | 0.0142999 / -0.0218805 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.180582 / -0.158226 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00368941 / 0.0297499 | 0 / 0 | 0 / 0 | 0 / 0 | 0.196517 / -0.0708967 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.223333 / 0.0353148 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_InSitu_NonClosure_PreRec | -0.0888799 / 0.305479 | -0.13568 / 0.162195 | -0.165787 / 0.116917 | -0.0366434 / 0.040485 | -0.0374941 / 0.0739912 | 0.160944 / -0.106065 | -0.0532799 / 0.0760405 | 0 / 0 | -0.122931 / 0.0754762 | 0.0517756 / -0.0291642 | 0 / 0 | -0.0235114 / 0.0232156 | -0.134657 / 0.322621 | -0.0287235 / -0.00561514 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | 0.055827 / -0.0646776 | 0.0266736 / -0.0448715 | 0 / 0 | -0.0313243 / 0.0367603 | -0.26792 / 0.571042 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0217325 / 0.0471767 | -0.352683 / 0.657358 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
 | JET_JERUnc_Noise_PreRec | -0.158012 / 0.187192 | -0.00917299 / 0.0114982 | 0.0996912 / -0.0910295 | -0.0363292 / 0.0395927 | 0 / 0 | -0.201142 / 0.256277 | 0 / 0 | 0 / 0 | 0.157904 / -0.137098 | 0 / 0 | -2.22045e-16 / 2.22045e-16 | 0.0212165 / -0.0206922 | 1.28755 / -0.573103 | -0.0111892 / 0.00485395 | 0 / 0 | -0.0316853 / 0.0321899 | -0.0366444 / 0.0378156 | 0 / 0 | -0.0245564 / 0.0252062 | 9.09127e-06 / -8.1687e-06 | -0.336096 / 0.5016 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0200769 / 0.0201462 | 0.251837 / -0.202598 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |
