 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197289 / -0.196932 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0171427 / 0.00039782 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0583098 / -0.000915982 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_JERUnc_Noise_PreRec | 0.0150466 / 0.00197511 | -8.41101e-05 / 9.58264e-05 | -1.20546e-05 / 1.34508e-05 | -5.08639e-05 / 5.80653e-05 | -1.14623e-05 / 1.29206e-05 | -0.0373995 / 0.000526511 | 0 / 0 | 0 / 0 | 0.0313321 / 0.00176524 | 0 / 0 | 0 / 0 | -1.74072e-07 / 1.94763e-07 | 0.0226253 / 0.000332861 | 0.0568443 / 0.0037926 | 2.22045e-16 / 2.22045e-16 | -2.22045e-16 / 0 | -1.4606e-06 / 1.62011e-06 | -1.8793e-07 / 2.08087e-07 | -0.899084 / -0.0776414 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0311726 / 0.00233887 | 0.0598819 / 0.00348981 | -8.40129e-05 / 9.52634e-05 |
 | FT_EFF_Eigen_B_0__1 | 0.0318694 / -0.0310031 | 0.0245103 / -0.0240401 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | -2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0636977 / -0.0604146 |
 | FT_EFF_Eigen_B_2__1 | -0.0630291 / 0.0695967 | -0.0525838 / 0.0570447 | -0.0352778 / 0.0373325 | -0.0312196 / 0.0332715 | -0.0307413 / 0.0324366 | -0.0318499 / 0.0354684 | -0.0296211 / 0.0312717 | 0 / 0 | -0.0349236 / 0.0371319 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 8.44235e-06 / -8.66903e-06 | -0.0471982 / 0.0501396 | -0.0216721 / 0.0229206 | -0.0289827 / 0.0306383 | -0.0215898 / 0.0229429 | 0 / 0 | 9.75703e-07 / -1.00972e-06 | 0 / 0 | -0.0261991 / 0.0275511 | -0.0307505 / 0.0325543 | -0.0345705 / 0.036569 | -0.043393 / 0.0461262 | -0.0488552 / 0.0515935 | -0.025807 / 0.027247 | -0.0241854 / 0.0252693 | -0.0637628 / 0.07026 |
 | FT_EFF_Eigen_B_3__1 | 0.0374923 / -0.0364554 | 0.0288267 / -0.0282493 | 0 / 0 | 0 / 0 | -1.21832e-05 / 1.26098e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0205076 / -0.0201414 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0199578 / -0.0198095 | 0 / 0 | 2.22045e-16 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / -1.11022e-16 | 0.0231687 / -0.0228524 | 0.0287466 / -0.0283567 | 0 / 0 | 0 / 0 | 0.0367541 / -0.0356746 |
 | FT_EFF_Eigen_B_8__1 | 0.0359525 / -0.0352019 | 0.0295805 / -0.0292098 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 6.66134e-16 | -4.44089e-16 / -4.44089e-16 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0372806 / -0.0364786 |
 | SM t#bar{t}t #mu_{F} and #mu_{R} | 0.00136612 / -0.00136611 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | -3.50236e-06 / 3.42413e-06 | 0 / 0 | 1.66125e-05 / -1.64644e-05 | 0 / 0 | 0 / 0 | -4.44089e-16 / 0 | 0 / 0 | 0 / 0 | 0.000661259 / 0.0260024 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 2.22045e-16 | -1.11022e-16 / 0 | 0 / 2.22045e-16 | 2.22045e-16 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 1.96055e-05 / -1.85502e-05 | 0 / 0 | 1.63291e-05 / -1.56226e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | -0.00385972 / -0.0327016 | 0.0215494 / -0.0139727 | 9.60003e-07 / -9.40512e-07 | 2.22045e-16 / 2.22045e-16 | 0.0250148 / -0.0136414 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | -5.49208e-05 / 6.1904e-05 | 0 / 0 | -6.99147e-06 / 7.79085e-06 | -4.05707e-05 / 4.47068e-05 | 0 / 0 | -0.0216413 / 0.00395596 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0328318 / 0.012593 | -0.0224104 / 0.0303744 | -0.0206957 / 0.0311667 | 2.22045e-16 / 2.22045e-16 | -0.0123892 / 0.0390888 | 2.22045e-16 / 2.22045e-16 | 2.22045e-16 / 0 | -0.0245452 / 0.0216231 | -0.0240121 / 0.0158997 | -0.999997 / 0.358019 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 5.0988e-05 / -7.41886e-05 | 6.61182e-05 / -9.69517e-05 | 2.27535e-05 / -3.38501e-05 | 0 / 0 | 3.97739e-06 / -5.99925e-06 | -0.00431543 / -0.032293 | 5.59334e-05 / -8.45502e-05 | 0 / 0 | 0.0210574 / -0.00360489 | -0.0208465 / -0.0255647 | 0.0286888 / -0.0388643 | 0.0246263 / -0.034097 | 0 / 2.22045e-16 | 0.0319033 / 0.0132696 | 2.22045e-16 / -3.33067e-16 | 2.22045e-16 / -2.22045e-16 | 0.0268951 / -0.0477722 | 0.0239709 / -0.0498071 | -0.0587619 / -0.970478 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00257219 / 0.0352705 | -0.0118694 / 0.0309692 |
 | JET_JERUnc_Noise_PreRec | 6.77438e-05 / -6.07942e-05 | 0.000125434 / -0.00011259 | 1.33344e-05 / -1.19767e-05 | 0 / 0 | 2.33978e-06 / -2.10178e-06 | 0.0218709 / -0.0215641 | 5.12542e-05 / -4.60257e-05 | 0 / 0 | 0 / 2.22045e-16 | 0.0467583 / -0.0462759 | -3.87488e-06 / 3.47766e-06 | 1.22542e-05 / -1.10136e-05 | -2.22045e-16 / 0 | -0.0274422 / 0.0298047 | 0 / 2.22045e-16 | 0 / -2.22045e-16 | 6.70173e-08 / -6.02733e-08 | -2.22045e-16 / 2.22045e-16 | 47.9275 / -0.999999 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0455185 / 0.047752 | -0.023034 / 0.023569 | 0.0001786 / -0.000160176 |
 | JET_JER_EffectiveNP_1 | -1.0018e-06 / 1.53299e-06 | -2.94142e-05 / 4.51608e-05 | -5.83616e-06 / 8.94274e-06 | 0 / 0 | 2.20196e-06 / -3.37484e-06 | -0.0229367 / 0.0198083 | -1.42893e-05 / 2.19038e-05 | 0 / 0 | 0 / 2.22045e-16 | 4.44089e-16 / 0 | 0 / 2.22045e-16 | -0.0231204 / 0.0199759 | 2.22045e-16 / 0 | -1.11022e-16 / 0 | 2.22045e-16 / 0 | 2.22045e-16 / -2.22045e-16 | -3.66711e-06 / 5.61428e-06 | -1.14282e-07 / 1.7471e-07 | -1 / 19.4348 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000141107 / 0.00021642 |
