 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -4.85e-05 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Jet uncertainties | -9.24e-05 | -3.46e-05 | -0.0122 | -9.75e-05 | 0.0308 | 0.211 | 0.0259 | 0 | -0.452 | -0.247 | 0.0683 | 0.0339 | 0.0418 | 1 | -0.286 | 0.0588 | -0.00507 | 0.164 | 0 | -3.33e-16 | 0.0456 | 0.0333 | -0.0252 | 0.238 | -0.0037 | -0.143 | 0.0211 | 0.468 | -0.273 | -6.76e-05 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -6.27e-05 | 8.29e-06 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other bkg modeling | 0 | 0 | 0.538 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.318 | 0.318 | 0.558 | 0 | 0.529 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other instrumental uncertainty | 0.0258 | 0.0262 | 0.0276 | 0.0281 | 0.0296 | -0.0973 | 0.027 | 0 | 4.44e-16 | 0.042 | 0.0143 | -0.0365 | -3.33e-16 | 0.0404 | 0.0145 | 0.0503 | 0.0496 | 0.0278 | 0 | 0.0267 | 0.0262 | 0.042 | 0.0903 | 0.513 | 0.0266 | 0.031 | 0.0526 | -0.0103 | 0.234 | 0.0276 |
 | SM 4top modeling | 0.291 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging B-jets uncertainties | 0.0203 | -0.0206 | 0 | 0 | 0 | 0.0543 | 0 | 0 | 0 | 0.00117 | 0.0366 | 0 | 0 | 0 | 0 | 0 | -0.0196 | -0.0281 | 0 | 0 | 0 | 0 | 0 | -0.0508 | 0 | 0 | 2.22e-16 | 0 | 0 | 0.0436 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 4.44e-16 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.134 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0237 | 0 | 0 | 0 | 0 | -0.0405 | -0.0319 | 0 | 0 | 0 | 0 | 0 | -0.0211 | 0 | 0 | -0.0218 | -0.0223 | -0.0517 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.0987 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
