NUISANCE_PARAMETERS
NF_ttW_4j_minus  1.071 +0.269585 -0.257401
NF_ttW_4j_plus  1.18986 +0.175596 -0.169183
NF_ttbar_CO  1.01573 +0.30259 -0.277305
NF_ttbar_HFe  0.685198 +0.225679 -0.200561
NF_ttbar_HFm  0.972467 +0.168095 -0.163273
NF_ttbar_gstr  0.949065 +0.216763 -0.189546
CO_ShapeSyst_simple  -0.0383422 +0.95115 -0.960831
Diboson_3jets  -0.001491 +0.998015 -0.998508
Diboson_4jets  -0.102056 +0.720597 -0.888785
Diboson_5jets  -0.199899 +0.527738 -0.727384
Diboson_syst_varRF  0.0122526 +0.991606 -0.991653
EG_RESOLUTION_ALL  0.00467272 +1.01207 -1.01258
EG_SCALE_ALL  0.00408146 +1.01122 -1.01144
FT_EFF_Eigen_B_0__1  -0.00847467 +0.999992 -0.999967
FT_EFF_Eigen_B_10__1  0.00283845 +1.00004 -1.00004
FT_EFF_Eigen_B_1__1  -0.00055848 +0.999984 -0.999979
FT_EFF_Eigen_B_2__1  0.200999 +0.96603 -1.01096
FT_EFF_Eigen_B_3__1  0.0292806 +0.996998 -0.996859
FT_EFF_Eigen_B_4__1  -0.000649713 +1.00001 -1.00001
FT_EFF_Eigen_B_5__1  -0.000123348 +1 -1
FT_EFF_Eigen_B_6__1  0.00259688 +0.999984 -0.999994
FT_EFF_Eigen_B_7__1  0.0257754 +0.999873 -0.999837
FT_EFF_Eigen_B_8__1  -0.0235217 +1.0001 -1.00011
FT_EFF_Eigen_B_9__1  0.000344964 +1 -1
FT_EFF_Eigen_C_0__1  -0.00159883 +1 -1
FT_EFF_Eigen_C_10__1  -2.25712e-12 +1 -1
FT_EFF_Eigen_C_1__1  -0.00140389 +0.999993 -1.00001
FT_EFF_Eigen_C_2__1  -0.000701891 +1 -1
FT_EFF_Eigen_C_3__1  0.0320578 +0.993505 -1.01298
FT_EFF_Eigen_C_5__1  0.0137788 +0.999863 -0.999866
FT_EFF_Eigen_C_6__1  -2.31473e-12 +1 -1
FT_EFF_Eigen_C_8__1  0.00019352 +1 -1
FT_EFF_Eigen_C_9__1  -2.25712e-12 +1 -1
FT_EFF_Eigen_Light_0__1  0.204758 +0.980676 -1.00164
FT_EFF_Eigen_Light_1__1  -0.0117105 +1.00008 -0.999777
FT_EFF_Eigen_Light_2__1  -0.00275124 +1 -0.999986
FT_EFF_Eigen_Light_3__1  -0.00136979 +1 -1
FT_EFF_Eigen_Light_4__1  0.00033702 +1.00001 -1
FT_EFF_Eigen_Light_6__1  -1.56142e-12 +1 -1
FT_EFF_Eigen_Light_8__1  0.0010285 +0.99999 -0.999992
FT_EFF_Eigen_Light_9__1  -7.83413e-05 +1 -1
Gstr_ShapeSyst_simple  -0.0312625 +0.95511 -0.968201
JET_BJES_Response  -0.00460349 +1.0038 -1.00174
JET_EffectiveNP_Detector1  -0.00579153 +0.994425 -0.994781
JET_EffectiveNP_Detector2  1.44932e-11 +1 -1
JET_EffectiveNP_Mixed1  -0.00122322 +0.999932 -0.999967
JET_EffectiveNP_Mixed2  0.00605169 +0.993975 -0.993612
JET_EffectiveNP_Mixed3  0.000323211 +0.999677 -0.999676
JET_EffectiveNP_Modelling1  -0.121049 +1.05207 -1.00269
JET_EffectiveNP_Modelling2  0.00417737 +0.993213 -0.992946
JET_EffectiveNP_Modelling3  -0.00560407 +0.992939 -0.993258
JET_EffectiveNP_Modelling4  1.44932e-11 +1 -1
JET_EffectiveNP_Statistical1  1.44932e-11 +1 -1
JET_EffectiveNP_Statistical2  0.00376024 +0.994604 -0.99433
JET_EffectiveNP_Statistical3  -2.31473e-12 +1 -1
JET_EffectiveNP_Statistical4  0.000108258 +1.00011 -1.00011
JET_EffectiveNP_Statistical5  0.000214833 +0.999785 -0.999787
JET_EffectiveNP_Statistical6  1.44932e-11 +1 -1
JET_EtaIntercalibration_Modelling  -0.0161736 +0.970435 -0.968728
JET_EtaIntercalibration_NonClosure_PreRec  -0.0501516 +1.05446 -0.993767
JET_EtaIntercalibration_TotalStat  0.000205456 +0.99834 -0.997977
JET_Flavor_Composition_Bkg  -0.223108 +1.16256 -0.95768
JET_Flavor_Composition_Sig  0.00025708 +0.999996 -0.999996
JET_Flavor_Response  0.215056 +0.986518 -1.11274
JET_InSitu_NonClosure_PreRec  0.630613 +0.963262 -1.43163
JET_JERUnc_Noise_PreRec  -0.823769 +0.967302 -0.868534
JET_JERUnc_Noise_PreRec_PseudoData  -0.1099 +0.789655 -0.886654
JET_JER_DataVsMC_MC16  0.0048271 +0.995147 -0.993702
JET_JER_DataVsMC_MC16_PseudoData  -0.0220999 +0.962698 -0.967281
JET_JER_EffectiveNP_1  0.760493 +0.909736 -1.39252
