 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1.11e-16 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | Jet uncertainties | -0.862 | -0.341 | -0.968 | -0.0938 | -0.17 | 17 | -0.225 | 0 | -0.778 | 0.397 | 1.11e-15 | -0.000517 | -0.826 | -0.492 | 2.22e-16 | -0.159 | 0.322 | 0.0211 | 0.191 | -0.133 | 0.123 | -999 | -999 | -999 | -999 | -999 | -999 | -0.0535 | -0.981 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0291 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | Other bkg modeling | 0 | 0 | 0.5 | 0.5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3 | 0.3 | 0.034 | 0 | 0.5 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | Other instrumental uncertainty | 0.0163 | -0.0225 | -0.0647 | -0.0255 | -2.22e-16 | 0.235 | 0 | 0 | -0.0648 | 0.0479 | -0.0207 | 0.028 | 0.171 | 0.618 | 0 | -0.0577 | 0 | 0 | 0.172 | 0 | -0.0477 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0.167 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | SM 4top modeling | -0.998 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | b-tagging B-jets uncertainties | 0.0074 | -0.0087 | 0 | 0.0213 | -0.0272 | -0.022 | -0.0242 | 0 | -0.0218 | -0.0169 | 0 | 0 | 0 | -0.0221 | 0 | 0 | 0 | 0 | 0 | -0.0266 | 0.0461 | -999 | -999 | -999 | -999 | -999 | -999 | -0.0295 | 0.00276 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0238 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | -1.11e-16 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | b-tagging Light-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0263 | -0.0297 | -0.0883 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | ttH_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | ttHmodeling | 0 | 0 | 0 | 0 | 0 | 0 | -0.0589 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | ttW_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | ttWmodeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | ttZ modeling | 0 | 0 | 0 | 0 | -0.151 | -0.17 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
 | ttZ_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -999 |
