 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197261 / -0.196943 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.44914 / 0.00936933 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.510829 / 0.00677423 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_BJES_Response | -0.0312738 / 0.064857 | -0.0377307 / 0.0066834 | 0 / 0 | -0.0314345 / 0.032211 | 0 / 0 | -0.0576879 / -0.00401243 | 0 / 0 | 0 / 0 | -0.00574095 / -0.0275714 | -0.100455 / -0.0881214 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0851464 / 0.0616629 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.005892 / 0.0689313 | -0.296023 / -0.000747108 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00605076 / -0.0709363 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | 0.0321953 / 0.0226312 | -0.0407199 / 0.0075904 | 0 / 0 | -0.0446373 / 0.0308492 | -0.0210473 / 0.0139395 | -0.0690521 / -0.00240915 | 0 / 0 | 0 / 0 | -0.00291477 / -0.0290335 | -0.0911811 / -0.0993804 | 0 / -1.11022e-16 | 0 / 0 | 0.221971 / 0.00954781 | -0.0690478 / 0.054666 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0210808 / -0.00567167 | 0 / 0 | 0 / 0 | -0.0428708 / 0.0655332 | 0.138363 / -0.130541 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.01334 / 0.260352 | -0.0202038 / 0.345271 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_Modelling | 0.0415731 / -0.0271607 | -0.0329856 / 0.00152417 | -0.0535119 / -0.00990172 | -0.032535 / 0.0213975 | 0 / 0 | -0.0856379 / -0.0051474 | 0 / 0 | 0 / 0 | 0.000233794 / -0.026816 | -0.0953461 / -0.0893358 | 0.0111162 / -0.0199666 | 0 / 0 | 0.217641 / 0.001219 | -0.0127567 / 0.0473504 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0229602 / 0.0672888 | 0.124608 / 0.000557159 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00461626 / 0.217079 | -0.0116366 / 2.51773 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0.0475845 / -0.18972 | -0.0510474 / 0.0195937 | -0.001377 / 0.102709 | -0.0502065 / 0.0264926 | -0.0223739 / 0.0229389 | -0.0915261 / 0.0206726 | -0.0212662 / 0.0227122 | 0 / 0 | -0.00446476 / -0.0280119 | -0.0998876 / -0.0942037 | -1.11022e-16 / 0 | 0 / 0 | 0.234109 / 0.00437559 | -0.0655798 / 0.0787387 | 0 / 0 | 0 / 0 | 0.0226403 / -0.0201855 | 0.0338987 / -0.0178253 | 0 / 0 | 0 / 0 | -0.0470284 / 0.110981 | 0.138982 / -0.162824 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0132718 / 0.0228702 | -0.0233487 / 0.199584 | -0.0387151 / 2.68377 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_TotalStat | 0.0642873 / -6.48882e-06 | 2.22045e-16 / 0 | 0 / 0 | -0.0174588 / 0.0277735 | 0 / 0 | -0.0233295 / 0.000337967 | 0 / 0 | 0 / 0 | 0 / 0 | -0.099528 / 1.05797e-05 | 0 / 0 | 0 / 0 | 0.227221 / -2.18867e-05 | -0.0184905 / 0.0462905 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.129443 / -1.28167e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.06694e-05 / 0.327131 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_Flavor_Response | 0.0168256 / 0.12645 | 0 / 0 | 0 / 0 | -0.00157289 / -0.0413524 | 0 / 0 | -0.00344851 / -0.0536355 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00668444 / -0.0959477 | -0.0384533 / 0.0045138 | 0 / 0 | 0.0135691 / 0.21888 | 0.0180213 / 0.0192074 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00957789 / 0.0261577 | 0 / 0 | 0 / 0 | 0.0818882 / -0.0289876 | -0.305633 / 0.183047 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.288652 / 0.0263313 | 2.76137 / -0.202104 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.189997 / 0.0914457 | -0.0800875 / 0.105012 | 0.0213229 / 0.120095 | -0.102288 / 0.115054 | -0.0413434 / 0.0588488 | -0.0626107 / 0.051648 | -0.0483437 / 0.0707929 | 0 / 0 | 0.0795662 / -0.145979 | -0.102094 / -0.012343 | -0.026537 / -0.00193727 | 0 / 0 | 0.235811 / 0.173816 | -0.0554747 / 0.145249 | 0 / 0 | 0 / 0 | 0.0414058 / -0.0476174 | 0.0692017 / -0.0715071 | 0 / 0 | -0.018199 / 0.0317415 | -0.0806916 / 0.314041 | 0.130334 / -0.0719157 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0140542 / 0.0350666 | -0.132283 / 0.225567 | 0.0477604 / 1.91929 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
