 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197261 / -0.196943 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0406494 / 0.000940346 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0722765 / -0.00111889 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EffectiveNP_Modelling1 | -0.0222949 / 0.0199633 | 1.34032e-05 / -1.24975e-05 | 0 / 0 | 9.53375e-06 / -9.01566e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 4.10321e-06 / -3.92704e-06 | 0 / 0 | -0.00658933 / 0.0299369 | 0 / 0 | 0 / -1.11022e-16 | 2.4841e-05 / -2.41465e-05 | 0 / 0 | -0.0418294 / -0.00203227 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0297046 / 0.0315422 | -0.0988264 / 0.0319257 | 0 / 0 | 0 / 0 | -0.0224629 / 0.00789981 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.0183459 / 0.0225944 | 1.9815e-05 / -1.81521e-05 | 0 / 0 | 1.13227e-05 / -1.05529e-05 | 1.20013e-05 / -1.13771e-05 | 4.44089e-16 / 0 | 0 / 0 | 0 / 0 | 0.000700419 / 0.0306434 | 0 / 0 | 0 / 0 | 1.26506e-05 / -1.20304e-05 | 0 / 0 | -0.00664416 / 0.0243416 | 1.75129e-05 / -1.66278e-05 | -1.11022e-16 / 0 | 0.00232956 / -0.0284117 | 0.0146036 / -0.04098 | -0.0439087 / -0.000984769 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0440638 / 0.0311538 | -0.148278 / 0.0594117 | -0.168544 / 0.398449 | 0 / 0 | -0.0315116 / 0.0114496 |
 | JET_Flavor_Response | 0.0198349 / -0.0205711 | -1.58582e-05 / 1.83642e-05 | 0 / 0 | -1.18011e-05 / 1.35056e-05 | -1.15359e-05 / 1.3063e-05 | -2.22045e-16 / 0 | -1.21236e-05 / 1.38285e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.31539e-05 / 1.47321e-05 | 0 / 0 | 0.0236745 / -0.00790794 | -3.28468e-06 / 3.70316e-06 | -1.11022e-16 / 0 | -0.0254665 / 0.00203982 | -0.0400848 / 0.00939056 | -0.00283555 / -0.041171 | 0 / 0 | 0 / 0 | 0.0309729 / -0.027821 | 0.0571704 / -0.0438648 | 0.0257704 / -0.131931 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.036889 / 0.0662084 | -0.0227924 / 0.0320144 | 0.0211105 / -0.0105185 | 2.69088e-05 / -3.94223e-05 | 2.06326e-05 / -3.09009e-05 | 0 / 0 | 2.15101e-05 / -3.19157e-05 | 0 / 0 | 0.0483351 / -0.00372113 | 0 / 0 | 2.22045e-16 / -2.22045e-16 | -0.00358886 / -0.0181554 | 0 / 0 | -0.0154593 / 0.0383203 | 2.05731e-05 / -3.09439e-05 | 0 / 2.22045e-16 | 0.00885389 / -0.0665616 | 0.0326983 / -0.111317 | -0.0425247 / 0.0268909 | 0 / 0 | 0 / 0 | -0.0461881 / 0.0559 | -0.0453338 / 0.104331 | -0.135984 / 0.202533 | -0.246494 / 0.605763 | 0 / 0 | -0.048731 / 0.0514871 |
 | JET_JESUnc_Noise_PreRec | -0.0202086 / 0.0228202 | 1.55325e-05 / -1.43994e-05 | 0 / 0 | 1.00693e-05 / -9.46932e-06 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 9.79785e-06 / -9.30514e-06 | 0 / 0 | -0.00649698 / 0.0255143 | 0 / 0 | 0 / -1.11022e-16 | 2.35243e-05 / -2.27522e-05 | 0 / 0 | -0.0423102 / -0.00185301 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0312561 / 0.0253589 | -0.0494294 / 0.0348944 | 0 / 0 | 0 / 0 | -0.0272556 / 0.0104357 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.045911 / 0.095709 | -0.0307034 / 0.0544041 | 0.0179583 / 0.0356238 | 2.76719e-05 / -4.1627e-05 | 2.11662e-05 / -3.28821e-05 | -2.22045e-16 / 2.22045e-16 | 2.48117e-05 / -3.78898e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 2.23941e-05 / -3.4786e-05 | 0 / 0 | -0.015527 / 0.0404874 | 1.74331e-05 / -2.72932e-05 | 0 / 0 | -0.00537877 / -0.0411718 | 0.0175417 / -0.0539618 | -0.0420752 / 0.00688256 | 0 / 0 | 0 / 0 | -0.0487305 / 0.0909118 | -0.0590022 / 0.0676393 | -0.246853 / 0.253864 | -0.171024 / 0.624343 | 0 / 0 | -0.0412259 / 0.0469516 |
 | JET_Pileup_OffsetNPV | -0.0155818 / 0.0245802 | 1.39201e-05 / -1.32151e-05 | 4.44089e-16 / 0 | 9.82167e-06 / -9.43573e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -3.08003e-05 / 0.0306457 | 0.000685192 / -0.0291894 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.11022e-16 / 0 | 0.00527104 / -0.0422951 | 0.0307926 / -0.0467689 | -0.0479723 / -0.00176938 | 0 / 0 | 0 / 0 | -0.0203814 / 0.016863 | -0.0415234 / 0.0509482 | -0.045851 / 0.0196938 | 0.000314375 / -0.0204907 | 0 / 0 | -3.33067e-16 / 2.22045e-16 |
