 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197261 / -0.196943 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | -0.0259272 / -0.000611209 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | -0.0683035 / -0.00105606 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | -0.0237124 / 0.0241069 | 5.46675e-05 / -5.03415e-05 | 2.22045e-16 / 2.22045e-16 | 2.99273e-05 / -2.80982e-05 | 2.36263e-05 / -2.23132e-05 | 0 / 2.22045e-16 | 3.53839e-05 / -3.32552e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -2.22045e-16 / -2.22045e-16 | 3.66035e-06 / -3.46318e-06 | 0.024435 / -0.083875 | -1.11022e-16 / 0 | -2.9653e-07 / 2.83112e-07 | -3.10979e-07 / 2.95482e-07 | 1.96575e-07 / -1.91725e-07 | 0.0609296 / -0.0271034 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0212586 / 0.0194772 | -0.0343538 / 0.0369098 | -0.0689389 / 0.141891 | -0.0859327 / 0.171409 | 0 / 0 | -0.0184968 / 0.0219625 |
 | JET_Flavor_Response | 0.023106 / -0.0171535 | -4.77215e-05 / 5.49899e-05 | 0 / 0 | -3.466e-05 / 3.95903e-05 | -2.26157e-05 / 2.56152e-05 | 0 / 0 | -3.62762e-05 / 4.13714e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -2.22045e-16 | -2.52528e-06 / 2.86216e-06 | -2.22045e-16 / -3.33067e-16 | -1.11022e-16 / -1.11022e-16 | 3.63824e-07 / -4.09383e-07 | 3.461e-07 / -3.89419e-07 | -1.23514e-07 / 1.35457e-07 | -0.023853 / 0.0574637 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0317802 / -0.0288077 | 0.0440454 / -0.0521088 | 0.124474 / -0.0496733 | 0.173292 / -0.0736969 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | -0.0415966 / 0.0658296 | -0.0201358 / 0.0295986 | 2.22045e-16 / 0 | 5.42908e-05 / -8.03314e-05 | 3.29537e-05 / -4.92216e-05 | 0 / 2.22045e-16 | 6.19349e-05 / -9.1974e-05 | 0 / 0 | 0 / 0 | 0.00452559 / -0.0242128 | -0.00949666 / -0.0141845 | 3.33784e-06 / -5.04526e-06 | 0.0151658 / -0.0794056 | -2.22045e-16 / 2.22045e-16 | 0.00444576 / -0.0196174 | -3.7496e-07 / 5.6495e-07 | 0.0238524 / -0.0661246 | 0.0614188 / -0.0737041 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0345002 / 0.0496283 | -0.0629819 / 0.0786599 | -0.103132 / 0.231288 | -0.078774 / 0.102109 | 0 / 0 | -0.0303875 / 0.0535126 |
 | JET_JESUnc_Noise_PreRec | -0.0202338 / 0.0207724 | 4.7641e-05 / -4.42876e-05 | 0 / 2.22045e-16 | 3.26592e-05 / -3.08123e-05 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 3.96012e-06 / -3.77467e-06 | 0.024443 / -0.0579647 | -2.22045e-16 / 0 | -2.27679e-07 / 2.18736e-07 | -1.60884e-07 / 1.52353e-07 | 1.60375e-07 / -1.55149e-07 | 0.053961 / -0.0165359 | 0 / 0 | 0 / 0 | 0 / 0 | -0.020427 / 0.0236471 | -0.0276457 / 0.030857 | -0.0563613 / 0.135186 | -0.0689132 / 0.178237 | 0 / 0 | 0 / 0 |
 | JET_JESUnc_VertexingAlg_PreRec | -0.0450899 / 0.0791607 | -0.0277594 / 0.0501738 | 0 / 0 | 7.52528e-05 / -0.000114225 | 4.68886e-05 / -7.248e-05 | 0 / 2.22045e-16 | 7.72001e-05 / -0.000117959 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 4.89084e-06 / -7.56119e-06 | 0.0134954 / -0.107241 | -1.11022e-16 / 0 | -3.77276e-07 / 5.95532e-07 | -4.98057e-07 / 7.77587e-07 | 3.12471e-07 / -5.04748e-07 | 0.0528759 / -0.0429119 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0566686 / 0.0836123 | -0.0543575 / 0.0991735 | -0.121497 / 0.29072 | -0.0681082 / 0.280889 | 0 / 0 | -0.0341718 / 0.0844108 |
 | JET_Pileup_OffsetNPV | -0.01881 / 0.0204986 | 4.29654e-05 / -4.09123e-05 | 0 / 2.22045e-16 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 5.36728e-07 / -5.26043e-07 | 0.0148403 / -0.0770771 | -1.11022e-16 / -1.11022e-16 | -1.75858e-07 / 1.71712e-07 | -1.99431e-08 / 1.95392e-08 | 0.0217332 / -0.0204592 | 0.058065 / -0.0212746 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0282896 / 0.0232043 | -0.0569309 / 0.0752137 | -0.0868751 / 0.170747 | 0 / 0 | -0.0229751 / 0.0171646 |
 | JET_Pileup_RhoTopology | -0.035827 / 0.0561206 | 7.53845e-05 / -0.000112075 | 2.22045e-16 / 0 | 4.78461e-05 / -7.22264e-05 | 2.65242e-05 / -4.03249e-05 | 0 / 0 | 5.01695e-05 / -7.5987e-05 | 0 / 0 | 0 / 0 | 0.00529627 / -0.02053 | 0 / 2.22045e-16 | 4.35554e-06 / -6.68277e-06 | 0.0173627 / -0.0752364 | -1.11022e-16 / -1.11022e-16 | -3.23156e-07 / 4.95121e-07 | -3.57979e-07 / 5.47957e-07 | 0.0266843 / -0.0591454 | 0.0610645 / -0.0679393 | 0 / 0 | 0 / 0 | 0 / 0 | -0.026445 / 0.0403868 | -0.0482895 / 0.0560328 | -0.0677544 / 0.182633 | -0.0780638 / 0.0846404 | 0 / 0 | -0.0262269 / 0.0440761 |
