 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | Jet uncertainties | 0 | 0 | 0 | 0 | 0 | 0.135 | 0 | 0 | 0 | 0 | 0.0205 | -0.12 | -0.377 | 0.127 | 0 | 0.125 | -0.00897 | 0.00714 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -0.0244 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.108 | -0.0893 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | Other bkg modeling | 0 | 0 | 0.5 | 0.566 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.3 | 0.3 | 0.78 | 0 | 0.5 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | Other instrumental uncertainty | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0211 | -0.017 | 0.0539 | 0 | -0.0292 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | -0.0194 |
 | SM 4top modeling | 0.017 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | b-tagging B-jets uncertainties | -0.0133 | -0.00764 | 0 | -0.023 | -0.02 | -0.0212 | 0 | 0 | -0.024 | 0 | 0 | 0 | -0.0379 | -0.0225 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0204 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0.0174 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -0.0397 | -0.0341 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 | 0 | -999 | -999 | -999 | -999 | -999 | -999 | 0 |
