 |       | t#bar{t}t#bar{t}      | t#bar{t}t      | t#bar{t}VV      | t#bar{t}VV      | ttZ_high      | ttZ_low      | t#bar{t}H      | QmisID      | Mat.Conv.      | Low m_{#gamma^{*}}      | HF e      | HF#mu      | light      | Other fake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}Z' |
 | ttt Cross-Section | 0.197261 / -0.196943 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.0189868 / 0.000441869 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.166802 / 0.00241014 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | JET_InSitu_NonClosure_PreRec | 0.0214374 / -0.0364764 | 0.0264388 / -0.0429547 | 0.0627605 / -0.0660509 | 0.0260479 / -0.0455733 | 0.0187107 / -0.0428412 | -0.0655747 / -0.0151659 | 0.0578795 / -0.0810974 | 0 / 0 | 0.00339827 / -0.0512842 | 0 / 0 | 1.17706 / -0.397762 | 0.246379 / -0.128462 | 0 / 0 | 0.166589 / -0.0865876 | 0.346446 / -0.0439876 | -0.0821917 / 0.0495413 | -0.00736065 / -0.0364145 | 0 / 0 | 0 / 0 | 0.0275703 / -0.0732821 | 0.0391657 / -0.0773619 | 0.114547 / -0.137798 | 0.0253147 / -0.0354016 | 0.0353525 / -0.0252478 | -0.0705674 / -0.00848553 | 0.108609 / -0.157077 | 0.171859 / -0.11523 | -0.0018241 / -0.0854118 | 0.00121838 / -0.0333931 | 0.0173642 / -0.0279951 |
 | JET_Pileup_RhoTopology | 0.0190392 / -0.0321341 | 0.0227793 / -0.0374422 | 0.0622811 / -0.0459734 | 0.025634 / -0.0408749 | 0.021161 / -0.041028 | -0.0667669 / -0.00360024 | 0.0564889 / -0.0750326 | 0 / 0 | 0.00300829 / -0.0431375 | 0 / 0 | 1.14709 / -0.429306 | 0.240753 / -0.14135 | 0 / 0 | 0.162827 / -0.0972578 | 0.32976 / -0.101763 | -0.0808703 / 0.0544526 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0278994 / -0.0678795 | 0.032429 / -0.0725737 | 0.113513 / -0.118241 | 0.0229808 / -0.0354098 | 0.0346255 / -0.0250545 | -0.0675277 / 0.00923877 | 0.107033 / -0.155798 | 0.153902 / -0.115756 | 0 / 0 | -0.00144796 / -0.0280795 | 5.31575e-07 / -8.2047e-07 |
 | FT_EFF_Eigen_B_3__1 | 0.0236168 / -0.0231869 | 0.0229845 / -0.0225622 | 0 / 0 | 0.0227928 / -0.0224243 | 0 / 0 | 0.0310037 / -0.030395 | 0.0201417 / -0.0197527 | 0 / 0 | 0.0223568 / -0.0220935 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0236835 / -0.0229795 | 0.024704 / -0.0239142 | 0.0208585 / -0.0207872 | 0.0210462 / -0.020768 | 0.0253967 / -0.0249899 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0248483 / -0.0244689 | 0.0224985 / -0.0221926 | 0.0265954 / -0.0261213 | 0.0245028 / -0.0238073 | 0.0278788 / -0.0273348 | 0.0216612 / -0.0212835 | 0.0330326 / -0.0325192 | 0.0225782 / -0.0219645 | 2.22045e-16 / -1.11022e-16 | 0 / 0 |
 | FT_EFF_Eigen_B_7__1 | 0.0245255 / -0.0240869 | 0.0240217 / -0.0235972 | 0 / 0 | 0.0240893 / -0.0236819 | 0 / 0 | 0.0407126 / -0.0393038 | 0.020926 / -0.0205697 | 0 / 0 | 0.0251426 / -0.0248314 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0256859 / -0.0248596 | 0.0222291 / -0.0218421 | 0.0213479 / -0.0210406 | 0.0274327 / -0.0270817 | 0.0275987 / -0.0272423 | 0 / 0 | 0 / 0 | 0.0207906 / -0.0205607 | 0.0286701 / -0.0282021 | 0.0260148 / -0.0256766 | 0.0276947 / -0.0272174 | 0.0269198 / -0.0260458 | 0.0256027 / -0.0250258 | 0.0250399 / -0.0245854 | 0.0268562 / -0.026516 | 0 / 0 | 0 / -1.11022e-16 | 0.0231746 / -0.0227912 |
 | JET_JESUnc_VertexingAlg_PreRec | 1.53502e-06 / -2.46975e-06 | 0.0179402 / -0.0324806 | 0.0628001 / -0.0184576 | 0.0224172 / -0.0386998 | 0.0147691 / -0.0310565 | 2.22045e-16 / 0 | 0.0427542 / -0.0559059 | 0 / 0 | 0.00136543 / -0.0685168 | 0 / 0 | 1.15241 / -0.13847 | 0.247989 / -0.0385963 | 0 / 0 | 0.169081 / -0.0366871 | 0.305752 / 0.073103 | -0.0815863 / 0.00105522 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0111611 / -0.0358562 | 0.0334542 / -0.0377897 | 0.0257226 / -0.0699131 | -0.00245159 / -0.0365252 | 0.0372632 / -0.0128204 | 0.0500547 / -0.0671762 | 0.0253596 / -0.0949522 | 0.0860957 / -0.0509656 | -2.22045e-16 / 0 | 0.000185407 / -0.0522992 | 9.98858e-07 / -1.59367e-06 |
 | ttt Cross-Section | 0 / 0 | 0.300451 / -0.300201 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | t#bar{t}t + 1 true b-jet | 0 / 0 | 0.313047 / -0.000522007 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
