 |       | CR Mat. Conv. | CR Low m_{#gamma^{*}} | CR HF e | CR HF#mu | CR t#bar{t}W^{+} | CR t#bar{t}W^{-} | CR 1b(+) | CR 1b(-) | SR #geq 4b | SR 3b, #\geq 3l | SR 3b, 2l | SR 2b, #\geq 3l | SR 2b, 2l | 
 | t#bar{t}t#bar{t} | 0.142308 pm 0.0303313 | 0.00484007 pm 0.0013582 | 0.00249735 pm 0.0020329 | 0.00616714 pm 0.00382554 | 1.37845 pm 0.317997 | 1.36302 pm 0.319099 | 1.87935 pm 0.430864 | 1.88016 pm 0.419027 | 13.5838 pm 3.05019 | 4.00127 pm 0.852796 | 13.8479 pm 2.90706 | 2.26994 pm 0.49813 | 8.64256 pm 1.85499 | 
 | t#bar{t}t | 0.0370609 pm 0.0112154 | 0.00141031 pm 0.000428457 | 0.00259953 pm 0.00100616 | 0.00684428 pm 0.00237055 | 0.388681 pm 0.119043 | 0.335761 pm 0.103423 | 0.30362 pm 0.0941771 | 0.278698 pm 0.0861646 | 0.660834 pm 0.226707 | 0.248611 pm 0.075954 | 1.24023 pm 0.374959 | 0.186819 pm 0.0574487 | 0.992996 pm 0.302689 | 
 | t#bar{t}VV | 0.500337 pm 0.191936 | 0.0186495 pm 0.00687048 | 0.0822905 pm 0.0465451 | 0.163583 pm 0.0767983 | 3.8321 pm 1.43993 | 3.21034 pm 1.28101 | 7.6433 pm 3.1454 | 7.27103 pm 3.17813 | 0.898457 pm 0.369885 | 0.372803 pm 0.143702 | 2.95391 pm 1.1305 | 1.97182 pm 0.843068 | 10.8748 pm 4.46271 | 
 | ttZ_high | 6.60292 pm 1.59123 | 0.429959 pm 0.18057 | 2.54786 pm 0.500417 | 6.00039 pm 1.45908 | 46.7711 pm 9.73071 | 44.0639 pm 8.5702 | 44.234 pm 9.87427 | 42.4327 pm 9.04534 | 1.8368 pm 0.345956 | 2.67877 pm 0.436529 | 9.92075 pm 1.71353 | 14.5282 pm 2.55255 | 45.5548 pm 8.30161 | 
 | ttZ_low | 0.449483 pm 0.109655 | 0.0365432 pm 0.0157312 | 0.119721 pm 0.056717 | 0.25895 pm 0.0822393 | 3.08834 pm 0.645804 | 2.84004 pm 0.553157 | 2.20395 pm 0.502299 | 2.28848 pm 0.515509 | 0.110429 pm 0.0401104 | 0.0234872 pm 0.0273736 | 0.426297 pm 0.0821095 | 0.0670957 pm 0.0222082 | 2.87049 pm 0.537945 | 
 | t#bar{t}H | 3.33248 pm 0.350723 | 0.236089 pm 0.0635801 | 1.71497 pm 0.257359 | 3.51739 pm 0.513033 | 39.2441 pm 4.10844 | 39.1838 pm 4.1543 | 34.0264 pm 3.75694 | 33.7262 pm 3.77828 | 2.21535 pm 0.426033 | 2.05029 pm 0.315755 | 12.6979 pm 1.76906 | 9.59909 pm 1.11854 | 54.4362 pm 6.14096 | 
 | QmisID | 113.665 pm 2.33408 | 1.57692 pm 0.0676462 | 2e-06 pm 8.20104e-08 | 2e-06 pm 5.7511e-08 | 18.4535 pm 0.221743 | 17.4684 pm 0.270827 | 34.0088 pm 0.376538 | 36.7599 pm 0.479621 | 1.32667 pm 0.0326102 | 2e-06 pm 5.44786e-08 | 6.97753 pm 0.119594 | 0.00306865 pm 7.5148e-05 | 31.9981 pm 0.283475 | 
 | Mat.Conv. | 70.4896 pm 4.40445 | 3.56322 pm 0.296349 | 3.29041 pm 0.715569 | 1.66166 pm 0.488742 | 2.83894 pm 0.310188 | 2.30817 pm 0.292925 | 11.5526 pm 0.880439 | 8.5365 pm 0.891469 | 0.397884 pm 0.043013 | 0.441553 pm 0.365686 | 4.2683 pm 0.407057 | 1.31145 pm 0.229051 | 19.7766 pm 0.899328 | 
 | Low m_{#gamma^{*}} | 19.9962 pm 0.982293 | 47.0383 pm 2.9117 | 4.41992 pm 0.502575 | 1.52651 pm 0.291919 | 6.15638 pm 0.642476 | 6.00143 pm 0.491125 | 12.5869 pm 0.869033 | 9.9881 pm 0.845483 | 0.832051 pm 0.150449 | 0.403058 pm 0.145292 | 4.30247 pm 0.620466 | 1.52911 pm 0.348036 | 19.0697 pm 0.557282 | 
 | HF e | 15.2903 pm 0.421921 | 5.83001 pm 0.301596 | 53.4525 pm 2.01474 | 17.841 pm 1.73304 | 24.5277 pm 0.920552 | 25.4639 pm 1.19598 | 71.1433 pm 6.43061 | 72.0073 pm 5.67304 | 0.128058 pm 0.289045 | 0.564631 pm 0.0661899 | 4.68507 pm 0.692541 | 0.620585 pm 0.154382 | 15.9913 pm 1.62933 | 
