 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | tttt | 0.142308 pm 0.0286113 | 0.00484007 pm 0.00154271 | 0.00249735 pm 0.00288914 | 0.00616714 pm 0.00513348 | 1.37845 pm 0.276723 | 1.36302 pm 0.273881 | 1.87935 pm 0.379882 | 1.88016 pm 0.378313 | 13.5838 pm 3.62566 | 4.00127 pm 0.80921 | 13.8479 pm 2.77841 | 2.26994 pm 0.455856 | 8.64256 pm 1.73016 | 
 | ttt | 0.0370609 pm 0.0111443 | 0.00141031 pm 0.000427398 | 0.00259953 pm 0.000888641 | 0.00684428 pm 0.00206018 | 0.388681 pm 0.116738 | 0.335761 pm 0.100885 | 0.30362 pm 0.091221 | 0.278698 pm 0.0837225 | 0.660834 pm 0.285842 | 0.248611 pm 0.0749952 | 1.24023 pm 0.372677 | 0.186819 pm 0.0561571 | 0.992996 pm 0.298038 | 
 | ttWW | 0.354284 pm 0.177291 | 0.0107202 pm 0.00537977 | 0.0685003 pm 0.0368463 | 0.130507 pm 0.0653342 | 2.57564 pm 1.28824 | 2.4302 pm 1.21558 | 6.05183 pm 3.02726 | 6.24155 pm 3.12215 | 0.302569 pm 0.164752 | 0.239775 pm 0.12444 | 1.92707 pm 0.964055 | 1.6275 pm 0.814276 | 8.63232 pm 4.31678 | 
 | rarettVV | 0.146053 pm 0.073088 | 0.00792939 pm 0.00397926 | 0.0137902 pm 0.00691078 | 0.0330757 pm 0.0165602 | 1.25646 pm 0.62842 | 0.780139 pm 0.390241 | 1.59147 pm 0.796014 | 1.02948 pm 0.514935 | 0.595889 pm 0.372981 | 0.133028 pm 0.0749992 | 1.02684 pm 0.586555 | 0.344314 pm 0.172278 | 2.24246 pm 1.12142 | 
 | ttll_MG_high_mll | 6.60292 pm 2.84949 | 0.429959 pm 0.339076 | 2.54786 pm 0.693854 | 6.00039 pm 2.38476 | 46.7711 pm 16.7035 | 44.0639 pm 14.3136 | 44.234 pm 16.8567 | 42.4327 pm 15.2981 | 1.8368 pm 0.429193 | 2.67877 pm 0.452579 | 9.92075 pm 1.20762 | 14.5282 pm 3.89835 | 45.5548 pm 13.1582 | 
 | ttll_MG_low_mll | 0.449483 pm 0.193974 | 0.0365432 pm 0.0288189 | 0.119721 pm 0.0533199 | 0.25895 pm 0.102071 | 3.08834 pm 1.10576 | 2.84004 pm 0.920725 | 2.20395 pm 0.852177 | 2.28848 pm 0.835185 | 0.110429 pm 0.0308998 | 0.0234872 pm 0.0270397 | 0.426297 pm 0.0671149 | 0.0670957 pm 0.0290084 | 2.87049 pm 0.832379 | 
 | ttH | 3.33248 pm 0.340203 | 0.236089 pm 0.118939 | 1.71497 pm 0.179993 | 3.51739 pm 0.0847662 | 39.2441 pm 3.95609 | 39.1838 pm 3.96187 | 34.0264 pm 3.43563 | 33.7262 pm 0.471155 | 2.21535 pm 0.492054 | 2.05029 pm 0.353083 | 12.6979 pm 1.29433 | 9.59909 pm 0.979408 | 54.4362 pm 5.47174 | 
 | QmisID | 113.665 pm 2.33439 | 1.57692 pm 0.0676459 | 2e-06 pm 8.20104e-08 | 2e-06 pm 5.75129e-08 | 18.4535 pm 0.221823 | 17.4684 pm 0.270924 | 34.0088 pm 0.37689 | 36.7599 pm 0.479987 | 1.32667 pm 0.0351731 | 2e-06 pm 5.81771e-08 | 6.97753 pm 0.122668 | 0.00306865 pm 7.69939e-05 | 31.9981 pm 0.285055 | 
 | CO | 70.4896 pm 7.73091 | 3.56322 pm 0.413194 | 3.29041 pm 0.103982 | 1.66166 pm 0.358207 | 2.83894 pm 0.50175 | 2.30817 pm 0.431666 | 11.5526 pm 1.59603 | 8.5365 pm 1.28432 | 0.397884 pm 0.00996155 | 0.441553 pm 0.364239 | 4.2683 pm 0.0745136 | 1.31145 pm 0.0281849 | 19.7766 pm 0.196746 | 
 | gstr | 19.9962 pm 0.410673 | 47.0383 pm 2.01783 | 4.41992 pm 0.139347 | 1.52651 pm 0.160124 | 6.15638 pm 0.632967 | 6.00143 pm 0.617911 | 12.5869 pm 0.137983 | 9.9881 pm 0.140307 | 0.832051 pm 0.0215687 | 0.403058 pm 0.137202 | 4.30247 pm 0.0888849 | 1.52911 pm 0.0295357 | 19.0697 pm 0.190302 | 
 | HFe | 15.2903 pm 0.314025 | 5.83001 pm 0.250093 | 53.4525 pm 1.74082 | 17.841 pm 0.457539 | 24.5277 pm 0.282818 | 25.4639 pm 0.376222 | 71.1433 pm 0.786424 | 72.0073 pm 0.889699 | 0.128058 pm 0.219203 | 0.564631 pm 0.0186065 | 4.68507 pm 0.101645 | 0.620585 pm 0.112071 | 15.9913 pm 0.175291 | 
 | HFm | 14.5506 pm 0.298833 | 1.93166 pm 0.0828633 | 26.3628 pm 0.840491 | 110.932 pm 2.77437 | 63.1919 pm 0.737867 | 69.4019 pm 1.00341 | 93.102 pm 1.02801 | 95.9389 pm 1.19154 | 0.358485 pm 0.149243 | 0.497644 pm 0.0625024 | 6.21859 pm 0.153166 | 0.559298 pm 0.12626 | 23.6985 pm 0.266584 | 
