 |       | CRttbarCO2l_CO_1 | CRttbarCO2l_gstr_1 | CR1b3le_lep_2_pt | CR1b3lm_lep_2_pt | CRttW2l_plus_nJets | CRttW2l_minus_nJets | CR1bplus_nJets | CR1bminus_nJets | SR4b_HT_all | SR3b3l4l_HT_all | SR3b2l_HT_all | SR2b3l4l_HT_all | SR2b2l_HT_all | 
 | tttt | 0.152434 pm 0.027983 | 0.00457454 pm 0.00144147 | 0.00259383 pm 0.0030006 | 0.0086007 pm 0.00686609 | 1.47082 pm 0.269502 | 1.45673 pm 0.267121 | 2.02474 pm 0.373618 | 1.99894 pm 0.367144 | 16.1219 pm 4.10041 | 4.27821 pm 0.7896 | 14.7951 pm 2.70504 | 2.42758 pm 0.44482 | 9.26584 pm 1.69209 | 
 | ttt | 0.0371939 pm 0.011146 | 0.00141551 pm 0.000427534 | 0.00258569 pm 0.000882859 | 0.00684844 pm 0.00205422 | 0.388947 pm 0.116413 | 0.336393 pm 0.100719 | 0.306029 pm 0.0916156 | 0.278791 pm 0.0834524 | 0.68049 pm 0.293673 | 0.24905 pm 0.074855 | 1.24233 pm 0.371926 | 0.187253 pm 0.0560905 | 0.997558 pm 0.298375 | 
 | ttWW | 0.336547 pm 0.174349 | 0.0101844 pm 0.00528981 | 0.0644466 pm 0.0357629 | 0.123571 pm 0.0640339 | 2.44162 pm 1.26442 | 2.30667 pm 1.19458 | 5.76808 pm 2.98768 | 5.91418 pm 3.06156 | 0.290529 pm 0.163302 | 0.226116 pm 0.121366 | 1.82727 pm 0.946251 | 1.54342 pm 0.799105 | 8.20509 pm 4.24762 | 
 | rarettVV | 0.148274 pm 0.0731816 | 0.00805078 pm 0.00398515 | 0.014006 pm 0.00692253 | 0.0334403 pm 0.0165111 | 1.27313 pm 0.628023 | 0.79105 pm 0.390252 | 1.62029 pm 0.799269 | 1.04298 pm 0.514511 | 0.632013 pm 0.394064 | 0.133393 pm 0.0739419 | 1.02932 pm 0.578183 | 0.349103 pm 0.172264 | 2.27867 pm 1.12386 | 
 | ttll_MG_high_mll | 5.44375 pm 2.16287 | 0.27393 pm 0.247799 | 2.28689 pm 0.54183 | 5.0271 pm 1.81217 | 40.0798 pm 12.7605 | 38.4426 pm 11.0024 | 37.5274 pm 12.8513 | 36.3099 pm 11.6947 | 1.8772 pm 0.432737 | 2.63788 pm 0.441155 | 9.82614 pm 1.18531 | 13.0379 pm 3.01922 | 40.5344 pm 10.1901 | 
 | ttll_MG_low_mll | 0.370574 pm 0.147234 | 0.0232819 pm 0.021061 | 0.108288 pm 0.0458145 | 0.217584 pm 0.0776952 | 2.64554 pm 0.844694 | 2.47944 pm 0.708095 | 1.86205 pm 0.649685 | 1.95332 pm 0.637171 | 0.113084 pm 0.0314028 | 0.0224915 pm 0.0256192 | 0.419917 pm 0.0655359 | 0.0603919 pm 0.0247218 | 2.55297 pm 0.6445 | 
 | ttH | 3.34567 pm 0.335533 | 0.219777 pm 0.113401 | 1.72275 pm 0.17732 | 3.51153 pm 0.084194 | 39.3111 pm 3.89105 | 39.2979 pm 3.88921 | 34.2846 pm 3.39328 | 33.6548 pm 0.455259 | 2.29636 pm 0.505639 | 2.0695 pm 0.352077 | 12.7373 pm 1.27296 | 9.6281 pm 0.96254 | 54.7075 pm 5.39553 | 
 | QmisID | 113.694 pm 2.33133 | 1.57748 pm 0.0676216 | 2.00085e-06 pm 7.95217e-08 | 1.98941e-06 pm 5.6089e-08 | 18.4513 pm 0.220956 | 17.5001 pm 0.269212 | 34.048 pm 0.371944 | 36.7348 pm 0.471477 | 1.33596 pm 0.0350115 | 1.9969e-06 pm 5.77185e-08 | 6.96911 pm 0.120581 | 0.0030623 pm 7.65433e-05 | 32.033 pm 0.282766 | 
 | CO | 69.393 pm 19.2275 | 3.50813 pm 1.01386 | 3.21789 pm 0.974717 | 1.60125 pm 0.667349 | 2.74116 pm 1.08848 | 2.2257 pm 0.900064 | 11.1981 pm 4.15308 | 8.23859 pm 3.12101 | 0.391351 pm 0.118144 | 0.423054 pm 0.363946 | 4.16597 pm 1.25512 | 1.28107 pm 0.386337 | 19.3468 pm 5.8211 | 
 | gstr | 19.4866 pm 3.94653 | 45.8439 pm 8.75097 | 4.31019 pm 0.879853 | 1.47963 pm 0.334336 | 5.96963 pm 1.34401 | 5.83043 pm 1.31297 | 12.2603 pm 2.46539 | 9.69948 pm 1.95212 | 0.816195 pm 0.165166 | 0.395174 pm 0.152114 | 4.19038 pm 0.845167 | 1.48775 pm 0.300051 | 18.6015 pm 3.73835 | 
 | HFe | 10.5469 pm 3.35187 | 4.02178 pm 1.28845 | 36.9004 pm 11.418 | 12.311 pm 3.9429 | 16.8936 pm 5.35493 | 17.5593 pm 5.57056 | 49.0735 pm 15.5438 | 49.595 pm 15.6972 | 0.101703 pm 0.183645 | 0.388759 pm 0.123754 | 3.23001 pm 1.02499 | 0.428272 pm 0.157578 | 11.0438 pm 3.50002 | 
 | HFm | 13.6986 pm 2.0928 | 1.81873 pm 0.286134 | 24.838 pm 3.90497 | 104.425 pm 15.2767 | 59.391 pm 9.01725 | 65.3208 pm 9.92811 | 87.7668 pm 13.3208 | 90.1971 pm 13.6993 | 0.348193 pm 0.154057 | 0.467112 pm 0.0918291 | 5.8568 pm 0.897761 | 0.530044 pm 0.14296 | 22.3334 pm 3.39486 | 
 | light | 3.50846 pm 0.0719421 | 1.48577 pm 0.0636903 | 0.956801 pm 0.610136 | 0.419874 pm 0.303458 | 2.717 pm 0.0320722 | 0.947603 pm 0.0158075 | 15.1259 pm 0.16563 | 9.54669 pm 0.119375 | 0.320512 pm 0.00665561 | 0.0294909 pm 0.00099601 | 1.96434 pm 0.0367956 | 0.796637 pm 0.0151833 | 10.3696 pm 0.0931378 | 
 | otherfake | 37.1763 pm 0.762313 | 10.3628 pm 0.44422 | 4.36873 pm 0.755096 | 6.12387 pm 0.146978 | 27.2576 pm 0.312455 | 24.0387 pm 0.339896 | 14.2154 pm 0.167547 | 12.0565 pm 0.148306 | 0.877981 pm 0.0154762 | 0.410893 pm 0.0151674 | 2.29187 pm 0.263412 | 1.42259 pm 0.147287 | 19.9013 pm 0.206041 | 
 | singleTop | 3.94061 pm 1.23298 | 0.110324 pm 0.0347653 | 4.73105 pm 1.48316 | 9.25044 pm 2.89317 | 18.733 pm 5.85235 | 11.9324 pm 3.72936 | 18.2712 pm 5.70644 | 13.1274 pm 4.10102 | 0.341264 pm 0.142954 | 0.254041 pm 0.100049 | 1.89247 pm 0.639911 | 1.4724 pm 0.460294 | 8.58038 pm 2.67943 | 
