 |       | tttt      | ttt      | ttWW      | rarettVV      | ttll_MG_high_mll      | ttll_MG_low_mll      | ttH      | QmisID      | CO      | gstr      | HFe      | HFm      | light      | otherfake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | t#bar{t}W^{-}      | ttZp2000 |
 | ttt Cross-Section | 0.2 / -0.2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} modelling (shower) | 0.501569 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | t#bar{t}t#bar{t} generator choice | 0.539821 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_EtaIntercalibration_NonClosure_PreRec | 0.0407223 / -0.187513 | 0 / 0 | 0.00127331 / 0.10098 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0.227061 / -0.000458106 | -1.11022e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0431108 / 0.110226 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.017893 / 0.196715 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.443042 / 0 |
 | JET_Flavor_Response | 0.00794789 / 0.132919 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000458106 / 0.227614 | 2.22045e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.269032 / 0.0679307 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / -0.443042 |
 | JET_InSitu_NonClosure_PreRec | -0.189124 / -0.0459587 | 0 / 0 | 0.0168985 / 0.161624 | -0.104213 / 0.052549 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0842921 / -0.123691 | 0 / 0 | 0 / 0 | 0 / 0 | 0.227061 / 0.413926 | -0.0593133 / 0.126745 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.0888705 / 0.299394 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.136711 / 0.148541 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | -0.443042 / 0.50082 |
 | JET_JERUnc_Noise_PreRec | 0 / 0.222383 | 0 / 0 | -2.22045e-16 / 0.191485 | 0 / 0 | 0 / 0 | 0.00361274 / 0.137136 | 0 / 0 | 0 / 0 | 0 / -0.13527 | 0 / 0 | 0 / 0 | 0 / 0 | 0.227614 / -0.00123811 | -0.0116532 / 0.135348 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 6.62741e-11 / 1.82095 | 0 / 0 | -0.00340889 / 0.191395 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0.000274803 / -0.127052 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / -0.114503 |
 | JET_JER_EffectiveNP_1 | -0.101745 / 0 | 0 / 0 | 0.115192 / 2.22045e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.136423 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.230568 / 2.22045e-16 | 0.108308 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0.150307 / 2.22045e-16 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -0.123549 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_1 | 0 / -0.222659 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -0.114665 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / 0 | 0 / 0 | 2.22045e-16 / 0.230568 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 2.22045e-16 / -2.22045e-16 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / -0.443042 |
 | JET_JER_EffectiveNP_2 | -0.273346 / 0 | 0 / 0 | 0.191861 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0.16399 / -0.0622141 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00123811 / 0.227614 | 0.114829 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.82095 / 6.62741e-11 | 0 / 0 | 0.18491 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | -2.22045e-16 / -2.22045e-16 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 |
 | JET_JER_EffectiveNP_2 | 0 / -0.116652 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / -0.132555 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 2.22045e-16 | 0 / 0 | 0.227614 / 0.00295404 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 6.62743e-11 / 1.82094 | 0 / 0 | 2.22045e-16 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0 | 0 / 0 |    NA    |    NA    |    NA    |    NA    |    NA    |    NA    | 0 / 0.163364 |
