 |       | tttt      | ttt      | ttWW      | rarettVV      | ttll_MG_high_mll      | ttll_MG_low_mll      | ttH      | QmisID      | CO      | gstr      | HFe      | HFm      | light      | otherfake      | singleTop      | singleTop      | Diboson      | triboson      | vh      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | t#bar{t}W^{+}      | ttZp2000 |
 | Diboson_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 9.95e-05 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Jet uncertainties | 0 | 0 | 0 | 0 | 0 | -9.34e-05 | 0 | 0 | -3.33e-16 | 2.66e-15 | 0 | 5.27e-05 | 2.66e-15 | 6.66e-16 | -1.11e-16 | -4.44e-16 | 1.12e-05 | 0 | 0.596 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Non-prompt lepton modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.126 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other bkg modeling | 0 | 0 | 0.521 | 0.527 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.316 | 0.316 | 0.343 | 0 | 1.04 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | Other instrumental uncertainty | 0 | 0 | 0 | 0 | 0 | -2.22e-16 | 0 | 0 | 0 | 0 | -5.01e-06 | 0 | -1.11e-16 | -1.11e-16 | 2.22e-16 | -1.11e-16 | 0 | 0 | 0.296 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | SM 4top modeling | 0.191 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging B-jets uncertainties | 0 | 0 | 0 | 0 | 0 | -6.66e-16 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2.22e-16 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging C-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | b-tagging Light-jets uncertainties | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.0944 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttH modeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.0977 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttH_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | -2.17e-05 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttHmodeling | 0 | 0 | 0 | 0 | 0 | 0 | 0.000758 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttW_syst_varRF | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -3e-10 | -1.86e-10 | -2.73e-10 | -1.09e-09 | -8.28e-09 | -2.75e-08 | 1.92e-07 | 0 |
 | ttWmodeling | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 | ttZ modeling | 0 | 0 | 0 | 0 | -0.222 | -0.228 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
