NUISANCE_PARAMETERS
NF_ttW_4j_minus  1.10183 +0.256276 -0.251681
NF_ttW_4j_plus  1.20254 +0.173438 -0.169963
NF_ttbar_CO  0.977287 +0.311632 -0.280164
NF_ttbar_HFe  0.689479 +0.223827 -0.212826
NF_ttbar_HFm  0.941423 +0.145993 -0.139282
NF_ttbar_gstr  0.974114 +0.204727 -0.186891
CO_ShapeSyst_simple  -0.0675216 +0.988504 -0.99007
Diboson_4jets  -0.0556874 +0.657685 -0.617031
Diboson_5jets  -0.439443 +0.576417 -0.619427
Diboson_syst_varRF  -0.0134831 +0.99989 -0.99996
EG_SCALE_ALL  0.00569836 +0.999325 -0.999182
FT_EFF_Eigen_B_0__1  -0.000903397 +1.00001 -0.999999
FT_EFF_Eigen_B_1__1  -0.000562674 +1.00001 -1
FT_EFF_Eigen_B_2__1  0.00962955 +0.999739 -0.999959
FT_EFF_Eigen_B_3__1  -0.00195549 +1.00002 -0.999984
FT_EFF_Eigen_B_4__1  0.000481293 +1 -1.00001
FT_EFF_Eigen_B_6__1  0.000971887 +1 -1.00001
FT_EFF_Eigen_B_7__1  -0.00138475 +1.00001 -1
FT_EFF_Eigen_Light_0__1  0.000329032 +1.00001 -0.999987
FT_EFF_Eigen_Light_1__1  -0.00694018 +1.00008 -0.9999
FT_EFF_Eigen_Light_2__1  0 +1.00001 -1.00001
Gstr_ShapeSyst_simple  -0.0253131 +0.999871 -0.999609
JET_BJES_Response  2.92348e-05 +1.00001 -1
JET_EffectiveNP_Detector1  -0.000258669 +1.00001 -1
JET_EffectiveNP_Mixed2  0.000258669 +1 -1.00001
JET_EffectiveNP_Mixed3  -0.000258669 +1.00001 -1
JET_EffectiveNP_Modelling1  0.0145901 +0.99998 -1.00001
JET_EffectiveNP_Modelling2  0.000258669 +1 -1.00001
JET_EffectiveNP_Modelling3  -0.000258669 +1.00001 -1
JET_EffectiveNP_Statistical2  0.000254121 +1 -1.00001
JET_EffectiveNP_Statistical5  -0.000258669 +1.00001 -1
JET_EtaIntercalibration_Modelling  0.0107645 +1.00002 -0.999918
JET_EtaIntercalibration_NonClosure_PreRec  0.021061 +0.999937 -0.999925
JET_EtaIntercalibration_TotalStat  0.000566037 +0.999998 -1.00001
JET_Flavor_Composition_Bkg  -0.000932452 +0.999538 -0.999308
JET_Flavor_Response  -0.0117793 +0.999597 -0.999834
JET_InSitu_NonClosure_PreRec  0.0383274 +1.00103 -1.00131
JET_JERUnc_Noise_PreRec  -0.0127006 +0.998994 -1.00265
JET_JERUnc_Noise_PreRec_PseudoData  -0.0715647 +1.00153 -0.997006
JET_JER_DataVsMC_MC16  -0.00514569 +1.00012 -0.999825
JET_JER_DataVsMC_MC16_PseudoData  0.00338187 +0.999849 -1.00012
JET_JER_EffectiveNP_1  0.0300138 +1.00039 -1.00199
JET_JER_EffectiveNP_10  -0.00704565 +1.00033 -0.999703
JET_JER_EffectiveNP_10_PseudoData  -0.00239525 +0.999892 -0.999739
JET_JER_EffectiveNP_11  -0.00284425 +1.0001 -0.999862
JET_JER_EffectiveNP_11_PseudoData  -0.00127147 +0.999525 -0.999627
JET_JER_EffectiveNP_12restTerm  0.000982824 +0.999997 -1.00001
JET_JER_EffectiveNP_12restTerm_PseudoData  0.00725166 +0.999737 -0.99986
JET_JER_EffectiveNP_1_PseudoData  0.000153425 +0.999777 -0.999764
JET_JER_EffectiveNP_2  0.0212676 +1.00313 -0.999459
JET_JER_EffectiveNP_2_PseudoData  0.0207996 +0.996347 -1.00453
JET_JER_EffectiveNP_3  -0.0274802 +1.00103 -0.999351
JET_JER_EffectiveNP_3_PseudoData  0.00285587 +0.999442 -0.999686
JET_JER_EffectiveNP_4  -0.0121292 +0.998334 -1.00247
JET_JER_EffectiveNP_4_PseudoData  -0.017963 +1.00414 -0.996386
JET_JER_EffectiveNP_5  -0.0101829 +1.0005 -0.999555
JET_JER_EffectiveNP_5_PseudoData  0.00774665 +0.99973 -0.999862
JET_JER_EffectiveNP_6  -0.00211189 +1.00011 -0.999825
JET_JER_EffectiveNP_6_PseudoData  -0.00818919 +0.999553 -0.999514
JET_JER_EffectiveNP_7  -0.000407106 +1.00001 -0.999998
JET_JER_EffectiveNP_7_PseudoData  0.00922151 +0.999699 -0.99986
JET_JER_EffectiveNP_8  0.0195518 +1.00122 -1.00177
JET_JER_EffectiveNP_8_PseudoData  -0.011993 +1.00065 -0.999506
JET_JER_EffectiveNP_9  0.00345858 +0.999846 -1.00012
JET_JER_EffectiveNP_9_PseudoData  0.00720978 +0.999735 -0.999858
JET_JESUnc_Noise_PreRec  0.0160765 +0.999951 -1.00004
JET_JESUnc_VertexingAlg_PreRec  0.0440939 +1.00159 -1.00164
JET_NNJvtEfficiency  -0.000207709 +0.999986 -0.999949
JET_Pileup_OffsetMu  0.0142522 +0.999955 -1.00004
JET_Pileup_OffsetNPV  0.0150368 +0.99992 -1.00002
JET_Pileup_PtTerm  9.01211e-05 +0.999998 -1.00001
JET_Pileup_RhoTopology  0.0246309 +1.00108 -1.00145
JET_RelativeNonClosure_AF3  6.09333e-07 +1.00001 -1.00001
MUON_CB  -0.000587319 +1 -1.00001
MUON_EFF_ISO_SYS  -0.000149037 +1.00001 -1.00001
Other_truthgbb_3b  -0.0403344 +1.00012 -0.99844
Other_truthgbb_4b  0.102108 +1.00304 -0.996895
PRW_DATASF  -0.0126781 +1.00015 -0.99964
VV_truthgbb_3b  -0.160219 +0.986433 -0.969528
VV_truthgbb_4b  -0.0117857 +0.998488 -0.99843
others_Xsec  0.0277766 +0.999414 -1.00013
singleTop_Xsec  -0.200035 +1.00525 -0.974122
ttH_Gen  0.0501477 +0.998008 -0.997603
ttH_PS  0.137788 +0.99295 -0.989144
ttH_Xsec  0.0355966 +0.98447 -0.983965
ttH_syst_varRF  -0.134162 +0.994696 -0.994885
ttH_truthgbb_3b  0.0529439 +0.997812 -0.997292
ttH_truthgbb_4b  0.123703 +1.00163 -0.995647
ttWW_Xsec  -0.0952112 +1.00146 -0.982613
ttW_syst_varRF  0.000268395 +0.999999 -0.999993
ttW_truthgbb_3b  0.0268341 +0.999059 -0.99952
ttW_truthgbb_4b  0.211779 +1.01104 -0.989091
ttZ_Gen  0.38091 +0.806257 -0.917038
ttZ_Xsec  -0.0788912 +0.986777 -0.982847
ttZ_high_mll_syst_MUR05_MUF05  -0.0889836 +0.996055 -0.996326
ttZ_low_mll_syst_MUR05_MUF05  -0.000197421 +0.99994 -0.999994
ttZ_low_mll_syst_MUR05_MUF1  -0.00839564 +0.999943 -1
ttZ_low_mll_syst_MUR1_MUF05  0.00119728 +0.999985 -1.00001
ttZ_low_mll_syst_MUR1_MUF2  -0.0015453 +1.00014 -1.00012
ttZ_low_mll_syst_MUR2_MUF1  0.00311333 +1.00045 -1.00043
ttZ_low_mll_syst_MUR2_MUF2  0.00196891 +1.0007 -1.00066
ttZ_truthgbb_3b  -0.0402897 +0.997814 -0.997185
ttZ_truthgbb_4b  0.126383 +1.0025 -0.994921
ttt_Xsec  0.0102706 +0.999603 -0.999703
ttt_truthgbb_4b  0.0659924 +1.00076 -0.998803
tttt_Gen  0.60159 +1.02919 -0.957698
tttt_Xsec  0.358991 +0.976289 -0.930696
tttt_syst_PS  0.00719526 +0.998143 -0.997878
tttt_syst_varRF  -0.00104454 +0.999938 -0.999934
gamma_stat_CR1b3le_lep_2_pt_bin_0  1.0012 +0.0350201 -0.0341821
gamma_stat_CR1b3le_lep_2_pt_bin_1  0.999642 +0.0728181 -0.0694261
gamma_stat_CR1b3lm_lep_2_pt_bin_0  1.00166 +0.027466 -0.0269903
gamma_stat_CR1b3lm_lep_2_pt_bin_1  0.987745 +0.0492967 -0.0477426
gamma_stat_CR1bminus_nJets_bin_0  0.998782 +0.0205662 -0.0202997
gamma_stat_CR1bminus_nJets_bin_1  0.996423 +0.0215192 -0.0212137
gamma_stat_CR1bminus_nJets_bin_2  1.01116 +0.0262343 -0.0257858
gamma_stat_CR1bminus_nJets_bin_3  0.999267 +0.036339 -0.0354685
gamma_stat_CR1bminus_nJets_bin_4  0.985914 +0.0597714 -0.0574492
gamma_stat_CR1bminus_nJets_bin_5  0.953422 +0.130257 -0.119374
gamma_stat_CR1bminus_nJets_bin_6  0.945585 +0.277316 -0.231107
gamma_stat_CR1bplus_nJets_bin_0  1.00002 +0.0181109 -0.0179095
gamma_stat_CR1bplus_nJets_bin_1  0.996844 +0.0187444 -0.0185192
gamma_stat_CR1bplus_nJets_bin_2  0.995855 +0.0233152 -0.0229629
gamma_stat_CR1bplus_nJets_bin_3  1.00865 +0.0344463 -0.0336844
gamma_stat_CR1bplus_nJets_bin_4  1.05536 +0.0696001 -0.0665591
gamma_stat_CR1bplus_nJets_bin_5  1.08251 +0.179578 -0.161448
gamma_stat_CR1bplus_nJets_bin_6  0.824388 +0.292985 -0.233517
gamma_stat_CRttW2l_minus_nJets_bin_0  1.00359 +0.0200526 -0.0197839
gamma_stat_CRttW2l_minus_nJets_bin_1  0.997302 +0.0207516 -0.0204529
gamma_stat_CRttW2l_minus_nJets_bin_2  0.996265 +0.0410327 -0.0399296
gamma_stat_CRttW2l_plus_nJets_bin_0  1.00019 +0.0156165 -0.0154584
gamma_stat_CRttW2l_plus_nJets_bin_1  1.00022 +0.0171845 -0.0169843
gamma_stat_CRttW2l_plus_nJets_bin_2  0.990773 +0.0373879 -0.0364863
gamma_stat_CRttbarCO2l_CO_1_bin_0  1.00026 +0.0206477 -0.0203605
gamma_stat_CRttbarCO2l_gstr_1_bin_0  1.00037 +0.0434815 -0.0422761
gamma_stat_SR2b2l_HT_all_bin_0  1.00064 +0.0167115 -0.0165126
gamma_stat_SR2b2l_HT_all_bin_1  1.00437 +0.0165568 -0.0163816
gamma_stat_SR2b2l_HT_all_bin_2  0.998913 +0.0168434 -0.0166502
gamma_stat_SR2b2l_HT_all_bin_3  0.999296 +0.0149517 -0.0148027
gamma_stat_SR2b3l4l_HT_all_bin_0  1.00176 +0.0374383 -0.0365278
gamma_stat_SR2b3l4l_HT_all_bin_1  0.997212 +0.0339156 -0.0331688
gamma_stat_SR2b3l4l_HT_all_bin_2  0.998199 +0.0234961 -0.0231386
gamma_stat_SR3b2l_HT_all_bin_0  1.00309 +0.034746 -0.0339487
gamma_stat_SR3b2l_HT_all_bin_1  0.997513 +0.0294927 -0.0289195
gamma_stat_SR3b2l_HT_all_bin_2  0.99429 +0.024052 -0.0236834
gamma_stat_SR3b2l_HT_all_bin_3  0.99904 +0.0204843 -0.0202149
gamma_stat_SR3b3l4l_HT_all_bin_0  0.998634 +0.0433382 -0.0421174
gamma_stat_SR3b3l4l_HT_all_bin_1  0.999093 +0.0270892 -0.0266146
gamma_stat_SR4b_HT_all_bin_0  1.00682 +0.0304797 -0.0298961
gamma_stat_SR4b_HT_all_bin_1  1.00051 +0.0107907 -0.0107159
mu_signal  0.32998 +0.201424 -0.195029
scaling_a  0.386228 +0.10759 -0.108594
scaling_b  0.434874 +0.243786 -0.234681


CORRELATION_MATRIX
153   153
-0.152706   0.0317347   -0.0256166   0.000742301   5.26126e-06   0.000374827   0.00140903   -0.0018865   -0.0018283   -0.00496248   -0.00654457   0.00678868   0.0101883   0.0165641   -0.00475455   -0.0078283   -0.00186403   0.0127551   0.00586223   -0.00212291   0.0469865   0.0181463   -0.0608542   0.0092977   -0.0753887   -0.174382   0.0274845   0.0180948   0.0208382   0.0262893   0.0305533   0.0126599   0.0319813   -0.0343939   -0.0142921   -0.00936603   -0.0112984   -0.00859152   -0.0302532   -0.0156987   0.00537494   0.0791935   -0.011368   0.0240989   -6.94159e-05   0.00333892   0.0016235   0.00289427   0.000322134   -0.0015972   -0.0011778   0.00124367   -0.000207897   -0.000439662   0.000275588   -0.000258961   0.000661386   0.000125357   -0.00383705   -0.113823   0.386946   0.00613115   -0.0023667   2.66695e-05   -0.0252643   -0.000164277   0.000819493   -0.00741084   -0.0529763   0.00467779   0.000882905   -0.127612   -0.00629061   -0.0618531   0.02926   0.00175252   -0.000402756   -0.00139207   1.35799e-05   3.57467e-05   -6.09854e-07   0.000316273   0.00085286   -0.000239522   0.000533739   4.33993e-05   -0.00576392   -0.000171123   -0.00111115   0.00170575   -0.00211447   0.00114562   0.000731555   -0.000955716   0.00113027   -0.000585288   -0.00126257   -0.00382551   0.00194881   -0.00493784   0.00179445   -0.00511494   0.000354626   0.00433047   -0.00147453   -0.00120382   0.000975879   0.00303436   0.000145764   -0.000811313   -0.00299979   0.00596264   0.00174185   -0.00138452   0.000774144   -0.00356896   0.00201112   0.00161615   -0.000270624   0.000926843   -0.00195366   -0.00053885   -2.77066e-05   2.72686e-05   -2.77066e-05   2.77396e-05   3.64938e-05   -2.77066e-05   2.77396e-05   -2.77066e-05   -6.0228e-05   -0.0168786   -3.05408e-09   0.00109907   -0.00128336   2.65467e-05   -2.98659e-05   -6.92521e-05   0.000138318   -0.00268178   8.09496e-05   0.000129968   0.00290825   0.00370545   0.135421   -0.168979   -0.00426284   0.00671345   -0.247685   -0.0297545   -0.00326958   0.533181   1   
-0.358562   0.221206   -0.0250563   0.000397139   -0.000407082   0.000370282   0.00112186   -0.00180637   -0.0027213   -0.00282949   -0.00137512   0.00679688   0.00889871   0.0141389   -0.00481398   -0.00188631   0.00479973   0.0224083   0.00165046   -0.00472687   0.0201303   -0.0330816   -0.184275   0.036473   0.0158068   -0.0671305   -0.0540239   -0.0196301   -0.00469357   0.00397009   0.00509261   -0.0226407   -0.0146987   -0.0164849   0.000827294   0.00717272   0.0125722   0.0233989   0.01288   0.0380809   -0.00258271   0.0510003   -0.0140684   0.00564063   0.000879613   0.00181179   0.00617263   -0.00447618   6.95079e-05   1.80148e-05   -0.000991242   0.000939184   -0.000401014   -0.000505857   0.000119909   -9.40521e-05   0.000677187   0.000443675   -0.00640593   -0.0686205   0.304962   0.00875378   0.000646648   -4.41252e-05   0.00648792   -0.000660102   0.000351142   -0.00978706   -0.0548265   -0.0058889   0.00291312   -0.197545   -0.00265654   -0.0673941   -0.0137887   0.000417338   -0.000918242   -0.000179437   8.37005e-06   4.7485e-05   -1.69423e-06   0.00321499   0.000583264   0.00049976   0.000281828   8.67011e-05   -0.000455596   6.71584e-05   -0.000801726   -0.00135165   0.00132843   0.000457668   0.000402889   -0.000819604   0.000626484   0.00149883   -0.00106243   0.00367339   -0.00104495   -0.00186238   -0.00111056   0.000333157   0.00258774   -0.00387245   0.00131671   -0.000830842   0.000614972   0.00269505   0.00257842   -0.0004558   0.00176591   -0.00215785   -0.00113781   0.00111534   -0.00247197   0.00253471   0.00417342   -0.00209519   0.00318929   0.000604158   0.00107899   0.00205853   -3.29209e-06   3.26694e-06   -3.29209e-06   3.34396e-06   0.000267097   -3.29209e-06   3.34396e-06   -3.29209e-06   -3.38555e-05   -0.0140654   -5.47931e-09   0.000276861   -0.000216515   -2.32364e-05   1.33737e-05   -7.76708e-06   -6.23689e-06   -0.00182622   9.09929e-06   1.45728e-05   -0.000937271   0.00622921   0.121133   -0.265938   -0.00132095   0.00858856   -0.175815   0.00686807   0.00195871   1   0.533181   
-0.0584722   0.0224806   -0.0024201   0.000456382   0.00018653   0.000793806   -0.00299793   -0.00143393   -0.000783362   -0.00126918   -0.00378256   0.000179462   0.00162304   -0.00298582   -0.000545155   0.000190279   -0.00287181   -0.0158246   0.0591178   -0.304739   0.0184494   0.0147087   0.00335796   0.00974046   0.010274   0.00607766   0.0207554   0.00541712   0.0106531   0.00116143   0.00186276   0.00267808   0.0108257   0.01153   0.00507738   0.000908038   -0.0108152   0.0100933   0.00635119   0.00777396   -0.0113433   -0.00415699   -0.00412774   0.0175871   -0.000512296   0.000214383   -0.00363796   0.00568359   0.000254138   -0.000864225   0.000401713   -0.00128176   -0.000230059   -9.55271e-05   -0.000175498   0.000197237   0.000128099   0.000356718   0.00417253   -0.00348595   0.0213886   -0.0045611   -0.00131622   -9.65365e-05   0.000356003   0.000376625   -0.000757282   0.00361539   -0.000851826   -0.00215087   0.000558282   -0.0248773   0.000821599   -0.00209733   -0.00702754   0.000814087   0.000368732   -0.00118335   7.84732e-06   4.66999e-06   7.13503e-08   -0.00490827   -5.99717e-05   -0.000828713   5.80516e-05   6.70473e-05   -0.00316725   -0.00016648   0.00288793   -0.000443588   0.00432284   -0.00101734   0.00273527   -1.44745e-05   -0.00317402   0.00147428   0.0027952   0.000925766   -0.00447467   0.0016679   -0.00392364   0.00130663   0.00440576   -0.00249939   0.00400802   0.0028725   -5.76301e-05   0.00250389   0.000345607   -0.00313306   0.000565546   -0.00177183   -0.000379655   0.000993606   -0.00471649   0.00394285   -0.0105534   0.000444708   -0.00467413   -4.44093e-05   -0.000602881   0.000429434   5.14165e-06   -5.02533e-06   5.14165e-06   -5.1398e-06   -0.00015927   5.14165e-06   -5.1398e-06   5.14165e-06   7.12497e-06   0.00530651   -8.7671e-10   0.00010258   -3.18333e-05   6.30651e-05   -4.40222e-05   -2.06136e-05   8.68747e-05   0.000452981   2.40796e-05   3.86895e-05   0.00271365   0.000865867   -0.00354332   -0.0742576   0.338198   -0.253974   0.0297623   -0.11162   1   0.00195871   -0.00326958   
-0.00610202   0.0105506   0.00581659   -0.000176757   0.000610717   -0.000500739   -0.00151636   0.00068482   -0.00112696   -0.00309164   -0.00276845   0.00245022   0.00269231   0.000461036   0.00283207   0.00384278   0.000265113   0.00244126   0.018336   0.0215171   0.00524008   0.000633828   0.00551368   -0.000948295   0.0152254   0.0123326   -0.0126625   -0.00444184   0.000172066   -0.0024071   -0.00781553   -0.00304192   -0.00931204   -0.0050335   -0.00744828   -0.016916   -0.00976769   -0.0126168   -0.0203219   -0.016632   0.0366402   0.0965358   -0.0385232   -0.271307   -0.000150734   8.55351e-05   -0.00277955   0.00305374   8.67387e-05   -0.000401618   9.59639e-05   -0.000985439   -0.000164337   -0.000178734   -1.58375e-05   -9.55364e-05   0.000345115   0.000137597   0.00266537   -0.00920984   0.0155322   0.000897596   9.9353e-05   -1.35529e-05   -0.0112084   0.000340463   -0.000651584   0.00311872   0.0068339   -0.000825154   7.04467e-05   -0.0569644   -0.0146977   0.0957865   -0.0942998   -0.00753478   -0.000811791   -0.000685439   3.58834e-06   2.20594e-06   -1.60122e-05   0.0190608   0.00133833   0.0121218   -7.38326e-05   -0.000163793   0.0287117   0.000638176   -0.00195407   0.00205168   -0.00850929   0.00811989   0.00108888   -0.00118425   0.00138664   -0.01955   -0.00110186   0.00192611   0.00363461   -0.00436652   0.00181138   -0.00445223   -0.00107442   0.00431247   -0.00233263   -0.00133341   0.00117028   0.00027551   0.000271745   -0.0012129   0.00261177   0.00644996   0.00205089   -0.0125609   -0.00211551   -0.0290996   0.0272372   -0.0120612   0.0138312   0.00112187   8.08068e-05   -0.000573308   -6.08626e-06   5.869e-06   -6.08626e-06   6.1117e-06   0.000790896   -6.08626e-06   6.1117e-06   -6.08626e-06   -7.37686e-05   0.00718101   1.15325e-09   0.000204483   -5.04666e-05   3.05724e-06   -3.50108e-06   -8.13227e-06   1.61084e-05   -0.000843161   9.53569e-06   1.52073e-05   -0.0563572   0.000893085   -0.254895   -0.103151   -0.0278594   -0.161681   -0.505662   1   -0.11162   0.00686807   -0.0297545   
0.0181285   0.0135899   0.0172524   -0.000597177   -4.23903e-05   3.83228e-05   8.20438e-05   -0.000142959   0.000299801   0.00315271   -0.0052758   0.00312862   0.00376908   0.0066308   0.00292446   0.00625194   0.0096799   0.00622802   -0.00273198   -0.00478407   -0.0287989   -0.00238761   0.0145763   -0.036144   0.0002095   0.0135015   -0.00585548   -0.00356912   -0.0156014   -0.0198306   -0.00355831   0.0119749   -0.00146437   0.00205128   -0.0111043   -0.0143543   -0.00698616   -0.0109787   0.00895626   0.00284566   -0.0569198   -0.28286   0.0136633   0.0791113   0.000604604   -0.00222102   -7.75047e-05   -0.00497998   -0.000295759   -3.78557e-06   -0.000639943   0.000101178   9.35156e-05   0.000237849   1.09717e-05   0.000250273   -0.000620391   -0.000317766   0.00232758   -0.0117742   0.0767113   -0.00311219   -0.000593079   -2.88822e-05   0.00461703   -0.000321954   -0.000191853   0.00176506   0.00627428   -0.0117531   0.00240325   -0.121752   0.00392269   -0.0144968   -0.0945491   0.00335671   -0.00103105   0.000139246   2.32875e-07   2.32242e-05   5.00783e-06   -0.00545069   -0.0032558   -0.00597812   -0.00114654   1.62955e-05   -0.00236882   -0.000202162   0.00362911   -0.00349975   0.00694494   -0.00674646   -0.00341488   0.00359791   -0.00335614   0.0084774   0.00377888   -0.00324377   -0.00737089   0.00978513   -0.00382451   0.00661047   0.000346251   -0.00318271   0.00387845   0.00351983   -0.00339587   0.00157028   -0.00328044   0.00345681   -0.00341145   -0.00723544   -0.00369753   0.00688018   0.00182488   0.00987799   -0.0130889   0.00396291   -0.00409258   -0.00332038   0.000891606   -0.000148271   7.02097e-06   -6.84416e-06   7.02097e-06   -7.03878e-06   -0.000325263   7.02097e-06   -7.03878e-06   7.02097e-06   0.0002356   -0.0108986   -1.74722e-09   0.000242218   6.33349e-05   3.74527e-05   -2.6713e-05   -1.53259e-05   5.68513e-05   0.00208281   1.79214e-05   2.88071e-05   0.0167784   -0.00153385   -0.0369858   0.0517485   -0.0135494   0.0484778   1   -0.505662   0.0297623   -0.175815   -0.247685   
